Player	Position	GP (GS)	Minutes	Goals	Assists
Rhett Harty	Defender	34 (34)	2845	1	1
Peter Vermes	Midfielder	33 (33)	2970	1	1
Tony Meola	Goalkeeper	32 (32)	2880	0	0
Giovanni Savarese	Striker	29 (16)	1702	14	1
Tab Ramos	Midfielder	28 (28)	2428	3	10
Nicola Caricola	Defender	28 (28)	2357	2	0
Miles Joseph	Midfielder	27 (26)	2197	4	5
Jeff Zaun	Defender	24 (22)	1795	0	0
Matt Knowles	Midfielder	24 (17)	1767	0	0
A.J. Wood	Striker	23 (15)	1232	5	2
Cristian da Silva	Midfielder	22 (13)	1268	0	0
Rob Johnson	Striker	21 (12)	1236	4	3
Roberto Donadoni	Midfielder	20 (20)	1800	3	10
Damian Silvera	Midfielder	17 (9)	953	0	1
Chris Unger	Midfielder	16 (12)	1029	1	1
Ted Gillen	Defender	16 (10)	852	0	0
Antony de Ávila	Striker	11 (10)	920	8	3
Mickey Kydes	Midfielder	11 (7)	556	0	0
Edmundo Rodriguez	Striker	11 (5)	473	0	1
Rubén Darío Hernández	Striker	10 (9)	836	0	3
Ian Hennessy	Midfielder	8 (4)	311	1	1
Manny Lagos	Midfielder	6 (6)	483	0	2
Andrew Restrepo	Defender	5 (4)	343	0	0
Chris Brauchle	Midfielder	5 (3)	323	0	0
