Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
19	December 2	New York	W 118–104 (OT)	Rashard Lewis (20)	Rashard Lewis (11)	Vince Carter , Jason Williams (5)	Amway Arena 17,461	15–4
20	December 5	@ Golden State	W 126–118 (OT)	Vince Carter (27)	Dwight Howard (8)	Jason Williams (8)	Oracle Arena 19,054	16–4
21	December 8	@ L.A. Clippers	W 97–86 (OT)	Dwight Howard (25)	Dwight Howard (11)	Dwight Howard (5)	Staples Center 16,750	17–4
22	December 10	@ Utah	L 111–120 (OT)	Vince Carter (34)	Dwight Howard (10)	Jason Williams (5)	EnergySolutions Arena 18,735	17–5
23	December 11	@ Phoenix	L 103–106 (OT)	Rashard Lewis (24)	Dwight Howard (18)	Vince Carter , Jason Williams (6)	US Airways Center 18,216	17–6
24	December 14	Indiana	W 106–98 (OT)	Vince Carter (28)	Dwight Howard (23)	Anthony Johnson (7)	Amway Arena 17,461	18–6
25	December 16	Toronto	W 118–99 (OT)	Rashard Lewis (21)	Dwight Howard (14)	Vince Carter , Jason Williams (7)	Amway Arena 17,461	19–6
26	December 17	@ Miami	L 86–104 (OT)	Dwight Howard (17)	Dwight Howard (14)	Anthony Johnson (5)	American Airlines Arena 18,303	19–7
27	December 19	Portland	W 92–83 (OT)	Rashard Lewis (15)	Dwight Howard (20)	Vince Carter , Anthony Johnson (3)	Amway Arena 17,461	20–7
28	December 21	Utah	W 104–99 (OT)	Dwight Howard (21)	Vince Carter , Dwight Howard (9)	Jason Williams (4)	Amway Arena 17,461	21–7
29	December 23	Houston	W 102–87 (OT)	Vince Carter (18)	Dwight Howard (20)	Jason Williams (6)	Amway Arena 17,461	22–7
30	December 25	Boston	L 77–86 (OT)	Vince Carter (27)	Dwight Howard (20)	Jameer Nelson (3)	Amway Arena 17,461	22–8
