Franchise or Game	Console	Main Developer	Main Genre	First Release	Latest Release
After Burner	Arcade , PlayStation Portable , PlayStation 3	Sega-AM2	Shoot 'em up	1987	2010
Beyond Oasis	Mega Drive/Genesis , Sega Saturn	Ancient	Action-adventure game	1994	1996
Blazing Heroes	Sega Saturn	Sega	Tactical role-playing game	1995	1996
Bleach	Nintendo DS , Wii	Treasure Co. Ltd , Polygon Magic	Fighting game	2005	2008
Bug!	Sega Saturn	Realtime Associates	Platform game	1995	1996
Border Break	Arcade	Sega	Action	2009	2012
Cannon Spike	Arcade , Dreamcast	Psikyo , Capcom	Arcade , Action	2000	2002
Chu Chu Rocket	Dreamcast , Game Boy Advance	Sonic Team	Puzzle	1999	2001
Clockwork Knight	Sega Saturn	Sega	Platform game	1994	1995
Columns	Mega Drive/Genesis	Sega	Puzzle	1990	1997
Condemned: Criminal Origins	Xbox 360 , PlayStation 3 , Microsoft Windows	Monolith Productions	Action game	2005	2008
Daytona USA	Arcade , Sega Saturn , Dreamcast , XBLA , PSN , PC	Sega-AM2 , Amusement Vision	Racing game	1993	2011
Derby Owners Club	Arcade	Hitmaker	Horse racing	2000	2002
Dinosaur King	Arcade , Nintendo DS	Sega	Trading card game	2005	2007
Dragon Force	Sega Saturn	Sega	Real-time strategy	1996	1998
Dynamite Cop	Arcade , Sega Saturn , Dreamcast	Wow Entertainment	Beat 'em up	1996	1998
Dynamite Dux	Arcade , Sega Master System	Sega	Beat 'em up	1989	1990
Eternal Champions	Mega Drive/Genesis , Sega CD	Sega	Fighting game	1993	1995
Feel the Magic: XY/XX	Nintendo DS	Sonic Team	Minigame	2004	2005
Ferrari F355 Challenge	Arcade , Dreamcast , PlayStation 2	Sega-AM2	Racing game	1999	2000
Fighting Vipers	Arcade , Sega Saturn , Dreamcast , PlayStation 2	Sega-AM2	Fighting game	1995	2001
Fist of the North Star	Arcade , PlayStation 2	Arc System Works	Fighting game	2005	2007
Flicky	Arcade , Sega SG-1000 , Mega Drive/Genesis	Sega	Action game	1984	1984
Full Auto	Xbox 360 , PlayStation 3 , PlayStation Portable	Pseudo Interactive	Racing game	2006	2007
Ghost Squad	Arcade , Wii	Sega-AM2	Rail shooter	2004	2007
Gunstar Heroes	Mega Drive/Genesis , Sega Game Gear	Treasure Co. Ltd	Run and gun	1993	2005
Hang-On	Arcade , Sega Master System , Mega Drive/Genesis	Sega-AM2	Racing game	1985	1987
Headhunter	Dreamcast , PlayStation 2 , Xbox	Amuze	Action-adventure game	2002	2004
House of the Dead	Arcade , Saturn , Dreamcast , Wii , Xbox	Wow Entertainment	Rail shooter	1996	2008
Joe Montana Football	Mega Drive/Genesis	Sega	Sports game	1991	1994
K-On! Hōkago Live!!	PlayStation Portable , PlayStation 3	Sega	Rhythm game	2010	2012
Last Bronx	Arcade , Sega Saturn , PlayStation 2	Hitmaker	Fighting game	1996	2006
MadWorld	Wii	Platinum Games	Beat 'em up	2009	2011
Magic Knight Rayearth	Sega Saturn	Sega	Action-adventure game	1995	1998
Manx TT Superbike	Arcade , Sega Saturn , PC	Sega	Racing game	1995	1997
Metropolis Street Racer	Dreamcast	Bizarre Creations	Racing game	2000	2001
NiGHTS	Sega Saturn , PlayStation 2 , Wii	Sonic Team	Action-adventure game	1996	2007
Oshare Majo: Love and Berry	Arcade , Nintendo DS	Sega	Collectible card game	2004	2006
Mushiking: King of the Beetles	Arcade , Nintendo DS	Sega	Collectible card game	2003	2007
Otogi	Xbox	From Software	Hack and slash	2002	2003
Pro Striker	Mega Drive , Game Gear	Sega	Sports game	1993	1995
Project Revolution (game)	Dreamcast	Sega-AM2	Shoot 'em up	1999	2000
Rent-A-Hero	Mega Drive/Genesis , Dreamcast	Sega	Role-playing video game	1991	2000
Rez	Dreamcast , PlayStation 2 , Xbox 360	United Game Artists , Q Entertainment	Rail shooter	2001	2008
Sands of Destruction (World Destruction)	Nintendo DS	imageepoch	Role-playing video game	2008	2010
Sangokushi Taisen	Arcade , Nintendo DS	Sega	Collectible card game	2005	2010
Samba De Amigo	Arcade , Dreamcast , Wii	Sonic Team , Gearbox Software	Music video game	1999	2008
