Year	Entrant	Chassis	Engine	Pts.
1952	LD Hawthorn	Cooper T20	Bristol I6	10
1952	AHM Bryde	Cooper T20	Bristol I6	10
1953	Scuderia Ferrari	Ferrari 500	Ferrari I4	19 (27)
1954	Scuderia Ferrari	Ferrari 625	Ferrari I4	24 9⁄14
1954	Scuderia Ferrari	Ferrari 553	Ferrari I4	24 9⁄14
1955	Vandervell Products Ltd.	Vanwall	Vanwall I4	0
1955	Scuderia Ferrari	Ferrari 555	Ferrari I4	0
1955	Scuderia Ferrari	Ferrari 625	Ferrari I4	0
1956	Owen Racing Organisation	Maserati 250F	Maserati I6	4
1956	Owen Racing Organisation	BRM P25	BRM I4	4
1956	Vandervell Products Ltd.	Vanwall	Vanwall I4	4
1957	Scuderia Ferrari	Lancia - Ferrari D50A	Lancia V8	13
1957	Scuderia Ferrari	Ferrari 801	Lancia V8	13
1958	Scuderia Ferrari	Ferrari Dino 246	Ferrari V6	42 (49)
