Rank	Building	City	Height (m/ft)	Floors	Status
1	Esplanada City Center	Bucharest	m (ft)	70	Cancelled
2	Mamaia North Complex	Constanța	m (ft)	42	Proposed
3	Dorobanți Tower	Bucharest	m (ft)	50	Proposed
3	Marina Park Constanța	Constanța	m (ft)	39	Approved
4	Tender Financial Center	Timișoara	m (ft)	45	Approved
5	Dâmbovița Center Towers	Bucharest	m (ft)	35	On-hold
6	Mamaia Beach Residential	Constanța	m (ft)	34	Approved
7	Timișoara High Tower	Timișoara	m (ft)	33	Proposed
8	Constanța Tower	Constanța	m (ft)	35	Approved
8	Star Lido Hotel	Bucharest	m (ft)	35	Cancelled
9	Kiseleff Business Plaza	Bucharest	m (ft)	31	Proposed
10	Carol Tower	Bucharest	m (ft)	35	Proposed
11	Cefin Tower	Bucharest	m (ft)	36	Proposed
11	Colosseum Tower Bucharest	Bucharest	m (ft)	32	Approved
11	Sky Towers Cluj-Napoca	Cluj-Napoca	m (ft)	32	Proposed
12	Ana Tower	Bucharest	m (ft)	28	Approved
12	Chitila Tower	Bucharest	m (ft)	30	Proposed
12	Kron Tower	Brașov	m (ft)	30	Proposed
12	Olympic Tower Bucharest	Bucharest	m (ft)	33	Proposed
12	Sigma Towers	Cluj-Napoca	m (ft)	35	Approved
12	SkyTurn Brașov	Brașov	m (ft)	30	Approved
13	Petrom City Tower	Bucharest	m (ft)	27	Proposed
14	Tron Tower	Bucharest	m (ft)	25	Proposed
15	Golden Gate Tower	Iași	m (ft)	28	Proposed
