Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
スシ王子！	Sushi Ouji!	TV Asahi	8	7.5%
菊次郎とさき 3	Kikujirou to Saki 3	TV Asahi	11	9.3%
牛に願いを Love&Farm	Ushi ni Negai wo - Love&Farm	Fuji TV	11	8.7%
ライフ	Life	Fuji TV	11	12.16%
受験の神様	Juken no Kamisama	NTV	9	9.5%
パパとムスメの7日間	Papa to Musume no Nanokakan	TBS	7	13.9%
肩ごしの恋人	Katagoshi no Koibito	TBS	9	7.4%
花ざかりの君たちへ～イケメン♂パラダイス～	Hanazakari no Kimitachi e ～Ikemen♂Paradise～	Fuji TV	12	17.04%
ファースト・キス	First Kiss	Fuji TV	11	14.1%
山おんな壁おんな	Yama Onna Kabe Onna	Fuji TV	12	12.1%
ホタルノヒカリ	Hotaru no Hikari	NTV	10	13.6%
山田太郎ものがたり	Yamada Taro Monogatari	TBS	10	15.24%
探偵学園Q	Tantei Gakuen Q	NTV	11	11.1%
地獄の沙汰もヨメ次第	Jigoku no Sada mo Yome Shidai	TBS	10	10.3%
女帝	Jotei	TV Asahi	10	14.4%
