Frequency	Call sign	Name	Format	Owner	Target city/ market	City of license
88.3 FM	KLMP	The Light	Christian	Bethesda Christian Broadcasting	Rapid City	Rapid City
89.9 FM	KQFR	Family Radio	Christian	Family Stations Inc	Rapid City	Rapid City
90.3 FM	KASD	American Family Radio	Christian	American Family Radio	Rapid City	Rapid City
91.3 FM	KTEQ	K-Tech	Alternative	Tech Educational Radio Council	Rapid City	Rapid City
91.7 FM	K218DX	CSN International	Christian KAWZ-FM translator	CSN International	Rapid City	Box Elder
92.2 FM	KQRQ-FM	Q92.3	Classic Hits	New Generation Broadcasting	Rapid City	Rapid City
93.1 FM	KRCS	Hot 93.1	Top 40	New Rushmore Radio, Inc.	Rapid City	Sturgis
93.9 FM	KKMK	Magic 93.9	Hot AC	New Rushmore Radio, Inc.	Rapid City	Rapid City
95.1 FM	KSQY	K-Sky	Album Oriented Rock	Haugo Broadcasting, Inc	Rapid City	Deadwood
95.9 FM	KZZI	The Eagle	Country	Duhamel Broadcasting	Rapid City	Belle Fourche
96.3 FM	K242BK	The Eagle	Country	Duhamel Broadcasting	Rapid City	Rapid City
97.5 FM	K248BT	97.5 The Hills	Adult Contemporary	New Rushmore Radio, Inc.	Rapid City	Rapid City
97.9 FM	KTPT	The Point	Christian Rock	Bethesda Christian Broadcasting	Rapid City	Rapid City
98.7 FM	KOUT	Kat Country 98.7	Country	New Rushmore Radio, Inc	Rapid City	Rapid City
99.5 FM	KRKI-FM1	99-5 The Range	Classic Country KRKI-FM booster	Badlands Broadcasting	Rapid City	Rapid City
100.3 FM	KFXS	100.3 The Fox	Classic Rock	New Rushmore Radio, Inc	Rapid City	Rapid City
101.1 FM	KDDX	X-Rock	Active Rock	Duhamel Broadcasting Enterprises	Rapid City	Spearfish
101.9 FM	KFMH-FM1	Oldies 101.9	Oldies KFMH-FM booster	Badlands Broadcasting	Rapid City	Rapid City
102.7 FM	KXMZ	Hits 102.7	Hot AC	Pandora Radio	Rapid City	Box Elder
103.5 FM	K278AN	X-Rock	Active Rock KDDX-FM translator	Duhamel Broadcasting Enterprises	Rapid City	Rapid City
104.1 FM	KIQK	Kick 104	Country	Haugo Broadcasting, Inc	Rapid City	Rapid City
104.7 FM	K284BA	Hot 93.1	Top 40 KRCS-FM translator	New Rushmore Radio, Inc	Rapid City	Rapid City
105.1 FM	KAWK	The Hawk 105.1	Adult Contemporary	Haugo Broadcasting, Inc	Rapid City	Custer
105.7 FM	K289AI	The Light	Christian KLMP-FM translator	Bethesda Christian Broadcasting	Rapid City	Rapid City
106.3 FM	KZLK	She 106.3	Hot AC	Steven E. Duffy	Rapid City	Custer
106.7 FM	K294BT	Big Kim Classic Country	Country KIMM-AM translator	Gunslinger Radio, Inc	Rapid City	Rapid City
107.3 FM	KSLT	Power 107.3	Christian Contemporary	Bethesda Christian Broadcasting	Rapid City	Spearfish
