Pos	No	Driver	Constructor	Part 1	Part 2	Part 3	Grid
01 1	15	Sebastian Vettel	Red Bull - Renault	1:30.883	1:30.341	1:32.160	01 1
02 2	9	Jarno Trulli	Toyota	1:31.063	1:30.737	1:32.220	02 2
03 3	1‡	Lewis Hamilton	McLaren - Mercedes	1:30.917	1:30.627	1:32.395	03 3
04 4	20	Adrian Sutil	Force India - Mercedes	1:31.386	1:31.222	1:32.466	08 8
05 5	23	Rubens Barrichello	Brawn - Mercedes	1:31.272	1:31.055	1:32.660	06 6
06 6	6	Nick Heidfeld	BMW Sauber	1:31.501	1:31.260	1:32.945	04 4
07 7	22	Jenson Button	Brawn - Mercedes	1:31.041	1:30.880	1:32.962	10 10
08 8	4‡	Kimi Räikkönen	Ferrari	1:31.288	1:31.052	1:32.980	05 5
09 9	2‡	Heikki Kovalainen	McLaren - Mercedes	1:31.499	1:31.223	40 No time	11 11
10 10	12	Sébastien Buemi	Toro Rosso - Ferrari	1:31.196	1:31.103	40 No time	13 13
11 11	16	Nico Rosberg	Williams - Toyota	1:31.286	1:31.482	41	07 7
12 12	7	Fernando Alonso	Renault	1:31.401	1:31.638	41	16 16
13 13	5	Robert Kubica	BMW Sauber	1:31.417	1:32.341	41	09 9
14 14	10	Timo Glock	Toyota	1:31.550	40 No time	41	20 (20)
15 15	11	Jaime Alguersuari	Toro Rosso - Ferrari	1:31.571	41 No time	41	12 12
16 16	3‡	Giancarlo Fisichella	Ferrari	1:31.704	42	42	14 14
17 17	17	Kazuki Nakajima	Williams - Toyota	1:31.718	42	42	15 15
18 18	8	Romain Grosjean	Renault	1:32.073	42	42	17 17
19 19	21	Vitantonio Liuzzi	Force India - Mercedes	1:32.087	42	42	18 18
20 20	14	Mark Webber	Red Bull - Renault	42 No time	42	42	19 19
