Name	Pole Position	Fastest Lap	Winning driver	Winning team	Report
Datsun Twin 200	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
Indianapolis 500	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
Gould-Rex Mays 150	Gordon Johncock	Unknown	Bobby Unser	Penske Racing	Report
True Value 500	Bobby Unser	Unknown	Bobby Unser	Penske Racing	Report
Red Roof Inns 150	Al Unser	Unknown	Johnny Rutherford	Chaparral	Report
Norton 200	Bobby Unser	Unknown	Johnny Rutherford	Chaparral	Report
Kent Oil 150	Al Unser	Unknown	Bobby Unser	Penske Racing	Report
Tony Bettenhausen 200	Johnny Rutherford	Unknown	Johnny Rutherford	Chaparral	Report
California 500	Bobby Unser	Unknown	Bobby Unser	Penske Racing	Report
Gould Grand Prix 150	Mario Andretti	Unknown	Mario Andretti	Penske Racing	Report
I Copa Mexico 150	Bobby Unser	Unknown	Rick Mears	Penske Racing	Report
Miller High Life 150	Mario Andretti	Unknown	Tom Sneva	Sugaripe Prune	Report
