Draft	Round	Pick	Player	Nationality
1967	1	1	Rick Pagnutti *	Canada
1968	1	7	Jim McInally	Canada
1969	2	16	Dale Hoganson	Canada
1969	3	27	Gregg Boddy	Canada
1969	4	39	Bruce Landon	Canada
1969	5	51	Butch Goring	Canada
1970	2	24	Al McDonough	Canada
1970	3	38	Terry Holbrook	Canada
1970	5	59	Billy Smith †	Canada
1970	6	73	Gerry Bradbury	Canada
1970	7	86	Brian Carlin	Canada
1970	8	98	Brian Chinnick	Canada
1971	3	34	Vic Venasky	Canada
1971	4	48	Neil Komadoski	Canada
1971	5	62	Gary Crosby	Canada
1971	6	76	Camille LaPierre	Canada
1971	7	89	Pete Harasym	Canada
1971	7	90	Norm Dube	Canada
1971	8	103	Lorne Stamler	Canada
1972	2	30	Don Kozak	Canada
1972	3	36	Dave Hutchison	Canada
1972	4	52	John Dobie	Canada
1972	5	68	Bernie Germain	Canada
1972	6	84	Mike Usitalo	USA
1972	7	100	Glen Toner	Canada
1973	3	38	Russ Walker	Canada
1973	4	54	Jim McCrimmon	Canada
1973	5	70	Dennis Abgrall	Canada
1973	6	86	Blair MacDonald	Canada
1973	7	102	Roly Kimble	Canada
1974	3	48	Gary Sargent	USA
1974	4	66	Brad Winton	Canada
1974	5	84	Paul Evans	Canada
1974	6	102	Marty Mathews	Canada
1974	7	120	Harvey Stewart	Canada
1974	8	137	John Held	Canada
1974	9	154	Mario Lessard	Canada
1974	10	169	Derrick Emerson	Canada
1974	11	184	Jacques Locas	Canada
1974	12	197	Lindsay Thomson	Canada
1974	13	207	Craig Brickley	Canada
1974	14	217	Brad Kuglin	Canada
1975	1	16	Tim Young	Canada
1975	2	33	Terry Bucyk	Canada
1975	4	69	Andre Leduc	Canada
1975	5	87	Dave Miglia	Canada
1975	6	105	Bob Russell	Canada
1975	7	123	Dave Faulkner	Canada
1975	8	141	Bill Reber	USA
1975	9	157	Sean Sullivan	Canada
1975	10	172	Brian Petrovek	USA
1975	11	186	Tom Goddard	USA
1975	12	197	Mario Vien	Canada
1975	13	203	Chuck Carpenter	USA
1975	14	207	Bob Fish	USA
1975	15	210	Dave Taylor	Canada
1975	15	213	Bob Shaw	Canada
1976	2	21	Steve Clippingdale	Canada
1976	3	49	Don Moores	Canada
1976	4	67	Bob Mears	Canada
1976	5	85	Rob Palmer	Canada
1976	6	103	Larry McRae	Canada
1977	5	84	Julian Baretta	Canada
1977	5	85	Warren Holmes	Canada
1977	6	103	Randy Rudnyk	Canada
1977	7	120	Bob Suter	USA
1978	5	77	Paul Mancini	Canada
1978	6	94	Doug Keans	Canada
1978	7	111	Don Waddell	USA
1978	8	128	Rob Mierkalns	Canada
1978	9	145	Rick Scully	Canada
1978	10	162	Brad Thiessen	Canada
1978	11	177	Jim Armstrong	USA
1978	12	193	Claude Larochelle	Canada
1979	1	16	Jay Wells	Canada
1979	2	29	Dean Hopkins	Canada
1979	2	30	Mark Hardy	Canada
1979	3	50	John Kelly	Canada
1979	4	71	John Gibson	Canada
1979	5	92	Jim Brown	USA
1979	6	113	Jay McFarlane	Canada
1980	1	4	Larry Murphy †	Canada
1980	1	10	Jim Fox	Canada
1980	2	33	Greg Terrion	Canada
1980	2	34	Dave Morrison	Canada
1980	3	52	Steve Bozek	Canada
1980	4	73	Bernie Nicholls	Canada
1980	5	94	Alan Graves	France
1980	6	115	Darren Eliot	Canada
1980	7	136	Mike O'Connor	Canada
1980	8	157	Billy O'Dwyer	USA
1980	9	178	Daryl Evans	Canada
1980	10	199	Kim Collins	Canada
1981	1	2	Doug Smith	Canada
1981	2	39	Dean Kennedy	Canada
1981	4	81	Marty Dallman	Canada
1981	6	123	Brad Thompson	Canada
1981	7	134	Craig Hurley	Canada
1981	7	144	Peter Sawkins	USA
1981	8	165	Dan Brennan	Canada
1981	9	186	Al Tuer	Canada
1981	10	207	Jeff Baikie	Canada
1982	2	27	Mike Heidt	Canada
1982	3	48	Steve Seguin	Canada
1982	4	64	Dave Gans	Canada
1982	4	82	Dave Ross	Canada
1982	5	90	Darcy Roy	Canada
1982	5	95	Ulf Isaksson	Sweden
1982	7	132	Victor Nechayev	USSR
1982	8	153	Hans Helander	Sweden
1982	9	174	Dave Chartier	Canada
1982	10	195	John Franzosa	USA
1982	11	216	Ray Shero	USA
1982	12	237	Mats Ulander	Sweden
1983	3	47	Bruce Shoebottom	Canada
1983	4	67	Guy Benoit	Canada
1983	5	87	Bob Laforest	Canada
1983	5	100	Garry Galley	Canada
1983	6	107	Dave Lundmark	USA
1983	6	108	Kevin Stevens	USA
1983	7	127	Tim Burgess	Canada
1983	8	147	Ken Hammond	Canada
1983	9	167	Bruce Fishback	USA
1983	10	187	Thomas Ahlen	Sweden
1983	11	207	Jan Blaha	Czechoslovakia
1983	12	227	Chad Johnson	USA
1984	1	6	Craig Redmond	Canada
1984	2	24	Brian Wilks	Canada
1984	3	48	John English	Canada
1984	4	69	Tom Glavine	USA
1984	5	87	David Grannis	USA
1984	6	108	Greg Strome	Canada
1984	7	129	Tim Hanley	USA
1984	8	150	Shannon Deegan	Canada
1984	9	171	Luc Robitaille †	Canada
1984	10	191	Jeff Crossman	Canada
1984	11	212	Paul Kenny	Canada
1984	12	232	Brian Martin	Canada
1985	1	9	Craig Duncanson	Canada
1985	1	10	Dan Gratton	Canada
1985	2	30	Par Edlund	Sweden
1985	4	72	Perry Florio	USA
1985	5	93	Petr Prajsler	Czechoslovakia
1985	7	135	Tim Flanagan	Canada
1985	8	156	John Hyduke	USA
1985	9	177	Steve Horner	Canada
1985	11	219	Trent Ciprick	Canada
1985	12	240	Marian Horvath	Czechoslovakia
1986	1	2	Jimmy Carson	USA
1986	3	44	Denis Larocque	Canada
1986	4	65	Sylvain Couturier	Canada
1986	5	86	Brian Ferreira	USA
1986	6	107	Robb Stauber	USA
1986	7	128	Sean Krakiwsky	Canada
1986	8	149	Rene Chapdelaine	Canada
1986	9	170	Trevor Pochipinski	Canada
1986	10	191	Paul Kelly	Canada
1986	11	212	Russ Mann	USA
1986	12	233	Brian Hayton	Canada
1986	S	9	Bob Kudelski	USA
1986	S	10	Grant Paranica	Canada
1987	1	4	Wayne McBean	Canada
1987	2	27	Mark Fitzpatrick	Canada
1987	3	43	Ross Wilson	Canada
1987	5	90	Michael Vukonich	USA
1987	6	111	Greg Batters	Canada
1987	7	132	Kyosti Karjalainen	Sweden
1987	9	174	Jeff Gawlicki	Canada
1987	10	195	John Preston	USA
1987	11	216	Rostislav Vlach	Czechoslovakia
1987	12	237	Mikael Lindholm	Sweden
1987	S	7	Chris Panek	USA
1988	1	7	Martin Gelinas	Canada
1988	2	28	Paul Holden	Canada
1988	3	49	John Van Kessel	Canada
1988	4	70	Rob Blake	Canada
1988	5	91	Jeff Robison	USA
1988	6	109	Micah Aivazoff	Canada
1988	6	112	Robert Larsson	Sweden
1988	7	133	Jeffrey Kruesel	USA
1988	8	154	Timo Peltomaa	Finland
1988	9	175	James Larkin	USA
1988	10	196	Brad Hyatt	Canada
1988	11	217	Douglas Laprade	Canada
1988	12	238	Joseph Flanagan	USA
1988	S	12	Sean Fitzgerald	USA
1989	2	39	Brent Thompson	Canada
1989	4	81	Jim Maher	USA
1989	5	102	Eric Ricard	Canada
1989	5	103	Thomas Newman	USA
1989	6	123	Daniel Rydmark	Sweden
1989	7	144	Ted Kramer	USA
1989	8	165	Sean Whyte	Canada
1989	9	182	Jim Giacin	USA
1989	9	186	Martin Maskarinec	Czechoslovakia
1989	10	207	Jim Hiller	Canada
1989	11	228	Steve Jacques	Canada
1989	12	249	Kevin Sneddon	Canada
1989	S	23	Carl Repp	Canada
1990	1	7	Darryl Sydor	Canada
1990	2	28	Thomas Semchuk	Canada
1990	3	49	Robert Berg	Canada
1990	5	91	David Goverde	Canada
1990	6	112	Erik Andersson	Sweden
1990	7	133	Robert Lang	Czechoslovakia
1990	8	154	Dean Hulett	USA
1990	9	175	Denis Leblanc	Canada
1990	10	196	Patrik Ross	Sweden
1990	11	217	Kevin White	Canada
1990	12	238	Troy Mohns	Canada
1990	S	11	Peter Sentner	USA
1991	2	42	Guy Leveque	Canada
1991	4	79	Keith Redmond	Canada
1991	4	81	Alexei Zhitnik	USSR
1991	5	180	Pauli Jaks	Switzerland
1991	6	130	Brett Seguin	Canada
1991	7	152	Kelly Fairchild	United States
1991	9	196	Craig Brown	Canada
1991	10	218	Mattias Olsson	Sweden
1991	11	240	Andre Boulianne	Canada
1991	12	262	Michael Gaul	Canada
1991	S	26	Brendan Creagh	USA
1992	2	39	Justin Hocking	Canada
1992	3	63	Sandy Allan	Bahamas
1992	4	87	Kevin Brown	United Kingdom
1992	5	111	Jeff Shevalier	Canada
1992	6	135	Rem Murray	Canada
1992	9	207	Magnus Wernblom	Sweden
1992	10	231	Ryan Pisiak	Canada
1992	11	255	Jukka Tiilikainen	Finland
1993	2	42	Shayne Toporowski	Canada
1993	3	68	Jeff Mitchell	USA
1993	4	94	Bob Wren	Canada
1993	5	105	Frederik Beaubien	Canada
1993	5	117	Jason Saal	USA
1993	5	120	Tomas Vlasak	Czech Republic
1993	6	146	Jere Karalahti	Finland
1993	7	172	Justin Martin	USA
1993	8	198	Travis Dillabough	Canada
1993	9	224	Martin Strbak	Slovakia
1993	10	250	Kimmo Timonen	Finland
1993	11	276	Patrick Howald	Switzerland
1994	1	7	Jamie Storr	Canada
1994	2	33	Matt Johnson	Canada
1994	3	59	Vitali Yachmenev	Russia
1994	5	111	Chris Schmidt	Canada
1994	7	163	Luc Gagne	Canada
1994	8	189	Andrew Dale	Canada
1994	9	215	Jan Nemecek	Czech Republic
1994	10	241	Sergei Shalamai	Russia
1994	S	7	Quinn Fair	Canada
1995	1	3	Aki Berg	Finland
1995	2	33	Donald MacLean	Canada
1995	2	50	Pavel Rosa	Czech Republic
1995	3	59	Vladimir Tsyplakov	Russia
1995	5	118	Jason Morgan	Canada
1995	6	137	Igor Melyakov	Russia
1995	7	157	Benoit Larose	Canada
1995	7	163	Juha Vuorivirta	Finland
1995	9	215	Brian Stewart	Canada
1996	2	30	Josh Green	Canada
1996	2	37	Marian Cisar	Slovakia
1996	3	57	Greg Phillips	Canada
1996	4	84	Mikael Simons	Sweden
1996	4	96	Eric Belanger	Canada
1996	5	120	Jesse Black	Canada
1996	5	123	Peter Hogan	Canada
1996	8	190	Steve Valiquette	Canada
1996	8	193	Kai Nurminen	Finland
1996	9	219	Sebastien Simard	Canada
1997	1	3	Olli Jokinen	Finland
1997	1	15	Matt Zultek	Canada
1997	2	29	Scott Barney	Canada
1997	4	83	Joe Corvo	USA
1997	4	99	Sean Blanchard	Canada
1997	6	137	Richard Seeley	Canada
1997	6	150	Jeff Katcher	Canada
1997	8	193	Jay Kopischke	USA
1997	9	220	Konrad Brand Category:Articles with hCards	Canada
1998	1	21	Mathieu Biron	Canada
1998	2	46	Justin Papineau	Canada
1998	3	76	Alexei Volkov	Russia
1998	4	103	Kip Brennan	Canada
1998	5	133	Joe Rullier	Canada
1998	6	163	Tomas Zizka	Czech Republic
1998	7	190	Tommi Hannus	Finland
1998	8	217	Jim Henkel	USA
1998	9	248	Matthew Yeats	Canada
1999	2	43	Andrei Shefer	Russia
1999	3	74	Jason Crain	USA
1999	3	76	Frantisek Kaberle	Czech Republic
1999	3	92	Cory Campbell	Canada
1999	4	104	Brian McGrattan	Canada
1999	4	125	Daniel Johansson	Sweden
1999	5	133	Jean-Francois Nogues	Canada
1999	7	193	Kevin Baker	Canada
1999	8	222	George Parros	USA
1999	9	250	Noah Clarke	USA
2000	1	20	Alexander Frolov	Russia
2000	2	54	Andreas Lilja	Sweden
2000	3	86	Yanick Lehoux	Canada
2000	4	118	Lubomir Visnovsky	Slovakia
2000	5	165	Nathan Marsters	Canada
2000	7	201	Evgeny Fedorov	Russia
2000	7	206	Tim Eriksson	Sweden
2000	7	218	Craig Olynick	Canada
2000	8	245	Dan Welch	USA
2000	8	250	Flavien Conne	Switzerland
2000	9	282	Carl Grahn	Finland
2001	1	18	Jens Karlsson	Sweden
2001	1	30	David Steckel	USA
2001	2	49	Mike Cammalleri	Canada
2001	2	51	Jaroslav Bednar	Czech Republic
2001	3	83	Henrik Juntunen	Sweden
2001	4	116	Richard Petiot	Canada
2001	5	152	Terry Denike	Canada
2001	5	153	Tuukka Mantyla	Finland
2001	7	214	Cristobal Huet	France
2001	8	237	Mike Gabinet	Canada
2001	9	277	Sebastien Laplante	Canada
2002	1	18	Denis Grebeshkov	Russia
2002	2	50	Sergei Anshakov	Russia
2002	3	66	Petr Kanko	Czech Republic
2002	4	104	Aaron Rome	Canada
2002	4	115	Mark Rooneem	Canada
2002	5	152	Greg Hogeboom	Canada
2002	5	157	Joel Andresen	Canada
2002	6	185	Ryan Murphy	USA
2002	7	215	Mikhail Lyubushin	Russia
2002	8	248	Tuukka Pulliainen	Finland
2002	9	279	Connor James	Canada
2003	1	13	Dustin Brown	USA
2003	1	26	Brian Boyle	USA
2003	1	27	Jeff Tambellini	Canada
2003	2	44	Konstantin Pushkarev	Kazakhstan
2003	3	82	Ryan Munce	Canada
2003	5	152	Brady Murray	Canada
2003	6	174	Esa Pirnes	Finland
2003	8	231	Matt Zaba	Canada
2003	8	244	Mike Sullivan	Canada
2003	9	274	Martin Guerin	USA
2004	1	11	Lauri Tukonen	Finland
2004	3	95	Paul Baier	USA
2004	4	110	Ned Lukacevic	Serbia
2004	5	143	Eric Neilson	Canada
2004	6	174	Scott Parse	USA
2004	7	205	Mike Curry	USA
2004	7	221	Daniel Taylor	Great Britain
2004	8	238	Yutaka Fukufuji	Japan
2004	9	264	Valtteri Tenkanen	Finland
2005	1	11	Anze Kopitar	Slovenia
2005	2	50	Dany Roussin	Canada
2005	2	60	T.J. Fast	Canada
2005	3	72	Jonathan Quick	USA
2005	5	139	Patrik Hersley	Sweden
2005	6	184	Ryan McGinnis	USA
2005	7	206	Josh Meyers	USA
2005	7	226	John Seymour	Canada
2006	1	11	Jonathan Bernier	Canada
2006	1	17	Trevor Lewis	USA
2006	2	48	Joey Ryan	USA
2006	3	74	Jeff Zatkoff	USA
2006	3	86	Bud Holloway	Canada
2006	4	114	Niclas Andersen	Sweden
2006	5	134	David Meckler	USA
2006	5	144	Martin Nolet	Canada
2006	6	164	Constantin Braun	Germany
2007	1	4	Thomas Hickey	Canada
2007	2	52	Oscar Moller	Sweden
2007	2	61	Wayne Simmonds	Canada
2007	3	82	Bryan Cameron	Canada
2007	4	95	Alec Martinez	USA
2007	4	109	Dwight King	Canada
2007	5	124	Linden Rowat	Canada
2007	5	137	Joshua Turnbull	USA
2007	7	184	Josh Kidd	Canada
2007	7	188	Matt Fillier	Canada
2008	1	2	Drew Doughty	Canada
2008	1	13	Colten Teubert	Canada
2008	2	32	Vyacheslav Voynov	Russia
2008	3	63	Robbie Czarnik	USA
2008	3	74	Andrew Campbell	Canada
2008	3	88	Geordie Wudrick	Canada
2008	5	123	Andrei Loktionov	Russia
2008	6	153	Justin Azevedo	Canada
2008	7	183	Garrett Roe Category:Articles with hCards	USA
2009	1	5	Brayden Schenn	Canada
2009	2	35	Kyle Clifford	Canada
2009	3	84	Nicolas Deslauriers	Canada
2009	4	95	Jean-Francois Berube Category:Articles with hCards	Canada
2009	4	96	Linden Vey	Canada
2009	5	126	David Kolomatis	USA
2009	6	156	Michael Pelech	Canada
2009	6	179	Brandon Kozun	Canada
2009	7	186	Jordan Nolan	Canada
2009	7	198	Nic Dowd	USA
2010	1	15	Derek Forbort	USA
2010	2	47	Tyler Toffoli	Canada
2010	3	70	Jordan Weal	Canada
2010	5	148	Kevin Gravel	USA
2010	6	158	Maxim Kitsyn	Russia
2011	2	49	Christopher Gibson	Finland
2011	3	80	Andy Andreoff	Canada
2011	3	82	Nick Shore	USA
2011	4	110	Michael Mersch	USA
2011	5	140	Joel Lowry	Canada
2011	7	200	Michael Schumacher	Sweden
2012	1	30	Tanner Pearson	Canada
2012	4	121	Nikolai Prokhorkin	Russia
2012	5	151	Colin Miller	Canada
2012	6	171	Tomas Hyka	Czech Republic
2012	6	181	Paul LaDue	USA
2012	7	211	Nick Ebert	USA
2013	2	37	Valentin Zykov	Russia
2013	4	103	Justin Auger	Canada
2013	4	118	Hudson Fasching	USA
2013	5	146	Patrik Bartosak	Czech Republic
2013	5	148	Jonny Brodzinski	USA
2013	6	178	Zachary Leslie	Canada
2013	7	191	Dominik Kubalik	Czech Republic
