Player	Pos.	From	School/Country	Rebs	Asts
Malcolm Mackey Category:Articles with hCards	F/C	1993	Georgia Tech	24	1
Don MacLean Category:Articles with hCards	PF	1999	UCLA	23	8
Kyle Macy Category:Articles with hCards	PG	1980	Kentucky	923	1,555
Dan Majerle Category:Articles with hCards	G/F	1988 2001	Central Michigan	2,823	1,824
Danny Manning Category:Articles with hCards	F/C	1994	Kansas	1,499	644
Stephon Marbury Category:Articles with hCards	PG	2001	Georgia Tech	646	1,601
Shawn Marion Category:Articles with hCards	F	1999	UNLV	6,616	1,332
Sean Marks Category:Articles with hCards	F/C	2006	California	39	4
Kendall Marshall Category:Articles with hCards	PG	2012	North Carolina	42	143
Bill Martin Category:Articles with hCards	SF	1987	Georgetown	27	6
Walter McCarty Category:Articles with hCards	PF	2004	Kentucky	61	11
Ted McClain Category:Articles with hCards	PG	1978	Tennessee State	69	60
George McCloud Category:Articles with hCards	G/F	1997	Florida State	380	163
John McCullough Category:Articles with hCards	PG	1981	Oklahoma	4	3
Xavier McDaniel Category:Articles with hCards	SF	1990	Wichita State	476	149
Antonio McDyess Category:Articles with hCards	PF	1997 2003	Alabama	751	122
Mike McGee Category:Articles with hCards	G/F	1989	Michigan	36	16
Stan McKenzie Category:Articles with hCards	F/G	1968	NYU	344	175
McCoy McLemore Category:Articles with hCards	F/C	1968	Drake	168	50
Paul McPherson Category:Articles with hCards	SG	2000	DePaul	48	16
Gary Melchionni Category:Articles with hCards	PG	1973	Duke	329	298
Loren Meyer Category:Articles with hCards	C	1996	Iowa State	96	12
Marko Milič Category:Articles with hCards	G/F	1997	Slovenia	30	14
Oliver Miller Category:Articles with hCards	C	1992 1999	Arkansas	1,012	430
Otto Moore Category:Articles with hCards	C/F	1971	Texas Pan–Am	540	88
Ron Moore Category:Articles with hCards	C	1987	West Virginia State	6	0
Chris Morris Category:Articles with hCards	SF	1998	Auburn	121	23
Marcus Morris Category:Articles with hCards	F	2013	Kansas	66	16
Markieff Morris Category:Articles with hCards	PF	2011	Kansas	681	174
Mike Morrison Category:Articles with hCards	G	1989	Loyola Maryland	20	11
Jerrod Mustaf Category:Articles with hCards	F/C	1991	Maryland	283	63
