Player	Club	League	Play-offs	FA Cup	FA Trophy	Total
Giuliano Grazioli	Barnet	29	0	0	0	29
Michael Twiss	Morecambe	22	0	3	0	25
Paul Mullin	Accrington Stanley	20	0	0	0	20
Anthony Elding	Stevenage Borough	19	0	1	0	21
Chris Moore	Dagenham & Redbridge	19	0	1	0	21
Adam Stansfield	Hereford United	19	0	1	1	21
Bob Taylor	Tamworth	19	0	0	0	19
Charlie Griffin	Forest Green Rovers	17	0	1	0	18
Lee McEvilly	Accrington Stanley	15	0	0	0	17
Jonny Allan	Northwich Victoria	15	0	0	1	16
Lee Boylan	Canvey Island	14	0	0	3	17
Tim Sills	Aldershot Town	14	0	2	0	16
Justin Richards	Woking	14	0	1	1	16
Neil Redfearn	Scarborough	14	0	0	0	14
Karl Hawley	Carlisle United	13	0	1	1	15
Paul Brayson	Northwich Victoria	13	0	0	0	13
