Branding	Callsign	Ch. #	Power kW	Station Type	Location (Transmitter site)
IBC TV-13 Manila	DZTV-TV	TV-13	50kW (1,500 kW ERP)	Originating	Metro Manila
IBC TV-6 Baguio	DWHB-TV	TV-6	10kW	Originating	Baguio
IBC TV-13 Laoag	DWCS-TV	TV-13	6kW	Originating	Laoag
IBC TV-6 Dagupan	DWHP-TV	TV-8	1kW	Originating	Dagupan
IBC TV-5 Tuguegarao	DWHR-TV	TV-5	1kW	Originating	Tuguegarao
IBC TV-10 Isabela	DWTV-TV	TV-10	5kW	Originating	Santiago, Isabela
IBC TV-13 Palawan	DYIP-TV	TV-13	1kW	Relay	Puerto Princesa City
IBC TV-13 Naga	DWNC-TV	TV-13	5kW	Originating	Naga
IBC TV-7 Legaspi	DWRB-TV	TV-7	5kW	Relay	Legaspi
IBC TV-2 Roxas	DYXX-TV	TV-2	5kW	Translator*	Roxas
IBC TV-12 Iloilo	DYJB-TV	TV-12	5kW	Originating	Iloilo
IBC TV-10 Bacolod	DYBD-TV	TV-10	5kW	Originating	Bacolod
IBC TV-13 Cebu	DYTV-TV	TV-13	12.5kW (258 kW ERP)	Originating	Cebu
IBC TV-2 Dumaguete	DYTM-TV	TV-2	5kW (360 kW ERP)	Originating	Dumaguete
IBC TV-12 Tacloban	DYRP-TV	TV-12	5kW (40 kW ERP)	Originating	Tacloban
IBC TV-13 Zamboanga	DXZB-TV	TV-13	10kW	Originating	Zamboanga
IBC TV-10 Cagayan De Oro	DXCC-TV	TV-10	5kW (285.44 kW ERP)	Originating	Cagayan De Oro
IBC TV-13 Davao	DXTV-TV	TV-13	10kW (360 kW ERP)	Originating	Davao
IBC TV-10 General Santos	DXSA-TV	TV-10	5kW (30 kW ERP)	Originating	General Santos
IBC TV-5 Butuan	DXRT-TV	TV-5	5kW (49.80 kW ERP)	Originating	Butuan
IBC TV-10 Tandag	DXXI-TV	TV-10	1kW (30 kW ERP)	Affiliate	Tandag
