Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Armstrong	FW	17 (2)	1	0	0	0	0	17 (2)	1
Steve Baines	DF	29	4	1	0	4	0	34	4
Jim Branagan	DF	24	0	0	0	0	0	24	0
Malcolm Brown	DF	30	1	1	0	4	0	35	1
Mick Butler	MF	41 (2)	17	1	0	4	2	46 (2)	19
Terry Eccles	FW	24 (5)	3	1	0	4	2	29 (5)	5
Martin Fowler	MF	5 (3)	0	0	0	0	0	5 (3)	0
Paul Gartland	DF	1	0	0	0	0	0	1	0
Wayne Goldthorpe	FW	8 (3)	3	0	0	0	0	8 (3)	3
Terry Gray	FW	45	10	1	0	4	1	50	11
Peter Hart	MF	41	0	1	0	4	0	46	0
Ian Holmes	MF	28 (1)	7	1	0	0	0	29 (1)	7
Peter Howey	MF	7 (2)	1	0	0	4	0	11 (2)	1
Johnny Jameson	MF	1	0	0	0	0	0	1	0
Kevin Johnson	FW	42 (1)	10	1	0	4	0	47 (1)	10
Jim McCaffrey	MF	9 (3)	0	0 (1)	0	4	0	14 (4)	0
Brett Mellor	DF	1	0	0	0	0	0	1	0
Bob Mountford	FW	12 (2)	4	0	0	0	0	12 (2)	4
Phil Sandercock	DF	45	1	1	0	4	0	50	1
Arnie Sidebottom	DF	29	1	1	0	0	0	30	1
Alan Starling	GK	32	0	1	0	4	0	37	0
Dave Sutton	DF	14	0	0	0	0	0	14	0
Alan Sweeney	DF	7 (1)	0	0	0	0	0	7 (1)	0
Dick Taylor	GK	14	0	0	0	0	0	14	0
