Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Stafford Rangers	42	8	8	81	40	+41	86
2	Macclesfield Town	42	13	6	67	39	+28	82
3	Witton Albion	42	8	12	57	39	+18	74
4	Hyde United	42	8	13	68	52	+16	71
5	Marine	42	15	9	59	34	+25	69
6	Burton Albion	42	15	9	70	49	+21	69
7	Worksop Town	42	10	13	68	56	+12	67
8	Workington	42	9	15	59	53	+6	63
9	Horwich RMI	42	14	12	67	50	+17	62
10	Bangor City	42	9	16	70	61	+9	60
11	Gainsborough Trinity	42	14	14	72	73	−1	56
12	Southport	42	9	18	65	66	−1	54
13	Matlock Town	42	9	19	56	66	−10	51
14	Oswestry Town	42	9	19	59	75	−16	51
15	Mossley	42	9	19	45	65	−20	51
16	Goole Town	42	11	18	60	65	−5	50
17	Rhyl	42	14	17	52	63	−11	47
18	Morecambe	42	14	17	51	67	−16	47
19	Chorley	42	10	20	47	63	−16	46
20	South Liverpool	42	15	18	43	71	−28	42
21	Grantham	42	13	21	41	69	−28	36 2
22	Buxton	42	6	28	38	79	−41	30
