District	Incumbent	Party	First elected	Results	Candidates
Florida 1	Joe Scarborough	Republican	1994	Re-elected	Joe Scarborough (R) 99.5% unopposed
Florida 2	Allen Boyd	Democratic	1996	Re-elected	Allen Boyd (D) unopposed
Florida 3	Corrine Brown	Democratic	1992	Re-elected	Corrine Brown (D) 56% Bill Randall (D) 44%
Florida 4	Tillie Fowler	Republican	1992	Re-elected	Tillie Fowler (R) unopposed
Florida 5	Karen Thurman	Democratic	1992	Re-elected	Karen Thurman (D) 66.3% Jack Gargan (Ref) 33.7%
Florida 6	Cliff Stearns	Republican	1988	Re-elected	Cliff Stearns (R) unopposed
Florida 7	John Mica	Republican	1992	Re-elected	John Mica (R) unopposed
Florida 8	Bill McCollum	Republican	1980	Re-elected	Bill McCollum (R) 66% Al Krulick (D) 34%
Florida 9	Michael Bilirakis	Republican	1982	Re-elected	Michael Bilirakis (R) unopposed
Florida 10	Bill Young	Republican	1970	Re-elected	Bill Young (R) unopposed
Florida 11	Jim Davis	Democratic	1996	Re-elected	Jim Davis (D) 65% John Chillura (R) 35%
Florida 12	Charles Canady	Republican	1992	Re-elected	Charles Canady (R) unopposed
Florida 13	Dan Miller	Republican	1992	Re-elected	Dan Miller (R) unopposed
Florida 14	Porter Goss	Republican	1988	Re-elected	Porter Goss (R) unopposed
Florida 15	Dave Weldon	Republican	1994	Re-elected	Dave Weldon (R) 63% David Golding (D) 37%
Florida 16	Mark Foley	Republican	1994	Re-elected	Mark Foley (R) unopposed
Florida 17	Carrie Meek	Democratic	1992	Re-elected	Carrie Meek (D) unopposed
Florida 18	Ileana Ros-Lehtinen	Republican	1989	Re-elected	Ileana Ros-Lehtinen (R) unopposed
Florida 19	Robert Wexler	Democratic	1996	Re-elected	Robert Wexler (D) unopposed
Florida 20	Peter Deutsch	Democratic	1992	Re-elected	Peter Deutsch (D) unopposed
Florida 21	Lincoln Diaz-Balart	Republican	1992	Re-elected	Lincoln Diaz-Balart (R) 75% Patrick Cusack (D) 25%
Florida 22	Clay Shaw	Republican	1980	Re-elected	Clay Shaw (R) unopposed
