League	Sport	Season	# of Teams	Games	Total attendance	Average attendance
National Football League	American football	2011	32	254	17124389	67358
Bundesliga	Association football	2012–13	18	306	13038533	42609
Premier League	Association football	2012–13	20	380	13653908 [B ]	35931
Australian Football League	Australian rules football	2013	18	207	6926380	33461
Major League Baseball	Baseball	2013	30	2426	74026895	30504
La Liga	Association football	2011–12	20	380	11504567	30275
Canadian Football League	Canadian football	2012	8	72	2029895	28193
Nippon Professional Baseball	Baseball	2010	12	846	21679596 [C ]	25626
Liga MX	Association football	2011–12	18	334	8495000	25434
Serie A	Association football	2012–13	20	380	8432075	24655
Super Rugby	Rugby union	2012	15	124	2725929	21807
Primera División Argentina	Association football	2012–13	20	376	8016797	21321
Eredivisie	Association football	2011–12	18	306	5978689	19538
Ligue 1	Association football	2012–13	20	379	7299737	19261
Major League Soccer	Association football	2012	19	323	6074729	18,807
Chinese Super League	Association football	2012	16	240	4497578	18740
Big Bash League	Cricket	2012-13	8	35	503,262	14,379
Football League Championship	Association football	2011–12	24	552	9791690	17738
J. League 1	Association football	2012	18	306	5375300	17566
National Rugby League	Rugby league	2012	16	201	3486494	17346
2. Bundesliga	Association football	2011–12	18	306	5283396	17266
Campeonato Brasileiro Série A	Association football	2011	20	380	5660987	14976
Turkish Super League	Association football	2011–12	18	306	3442500	11250
Scottish Premier League	Association football	2011–12	12	228	3160414	13861
Top 14	Rugby union	2011–12	14	182	2414951	13269
Russian Premier League	Association football	2012–13	16	240	3096744	12903
Aviva Premiership	Rugby union	2011–12	12	135	1697177	12925
Korea Professional Baseball	Baseball	2012	8	532	7,156,157	13451
Algerian Championnat National	Association football	2007–08	18	306	3698928	12088
Belgian Pro League	Association football	2011–12	16	240	2815321	11731
Indonesia Super League	Association football	2010–11	15	210	2428930	11566
Currie Cup	Rugby union	2011	8	59	936524	15873
Swiss Super League	Association football	2010–11	10	180	2045700	11365
K-League	Association football	2012	16	338	2419143	7157
Ukrainian Premier League	Association football	2011–12	16	240	2711144	11296
Portuguese Liga	Association football	2011–12	16	240	2632320	10968
Super League	Rugby league	2011	14	202	2191700	10,850
A-League	Association football	2012–13	10	130	1632321	12556
Categoría Primera A	Association football	2011	18	176	1633456	9281
Iranian Premier League	Association football	2010–11	18	306	2968000	9700
Segunda División	Association football	2010–11	22	462	3747744	9089
Ekstraklasa	Association football	2011–12	16	240	2123760	8849
Ligue 2	Association football	2011–12	20	380	3212364	8454
Norwegian Premier League	Association football	2010	16	240	1948080	8117
Austrian Bundesliga	Association football	2010–11	10	180	1453860	8077
Speedway Ekstraliga	Motorcycle speedway	2012	10	102	804330	7885
RaboDirect Pro12	Rugby union	2011–12	12	134	1052795	7856
Football League One	Association football	2011–12	24	552	4061716	7358
V-League	Association football	2011	14	182	1328000	7298
Allsvenskan	Association football	2012	16	240	1730357	7210
Air New Zealand Cup	Rugby union	2008	14	77	554663	7203
Danish Superliga	Association football	2010–11	12	192	1385717	6999
International League	Baseball	2012	14	958	6504586	6999
Super League Malaysia	Association football	2008	14	182	1258348	6914
Uzbek League	Association football	2011	14	182	1272362	6911
