Representative	Title	Presentation of Credentials	Termination of Mission	Appointed by
Malcolm R. Barnebey	Chargé d'Affaires ad interim	October 29, 1981	June 23, 1983	Ronald Reagan
Malcolm R. Barnebey	Ambassador Extraordinary and Plenipotentiary	June 23, 1983	July 10, 1985	Ronald Reagan
Keith Guthrie	Chargé d'Affaires ad interim	July 1985	September 1987	Ronald Reagan
Robert G. Rich, Jr.	Ambassador Extraordinary and Plenipotentiary	September 14, 1987	July 7, 1990	Ronald Reagan
Eugene L. Scassa	Ambassador Extraordinary and Plenipotentiary	November 22, 1990	July 6, 1994	George H. W. Bush
George Charles Bruno	Ambassador Extraordinary and Plenipotentiary	August 29, 1994	November 25, 1997	Bill Clinton
Carolyn Curiel	Ambassador Extraordinary and Plenipotentiary	January 19, 1998	March 1, 2001	Bill Clinton
Russell F. Freeman	Ambassador Extraordinary and Plenipotentiary	September 11, 2001	April 7, 2005	George W. Bush
Robert Johann Dieter	Ambassador Extraordinary and Plenipotentiary	September 8, 2005	June 10, 2009	George W. Bush
Vinai Thummalapally	Ambassador Extraordinary and Plenipotentiary	June 12, 2009	Current	Barack Obama
