Date	Venue	Score	Result	Competition
27 May 2009	Nagai Stadium , Osaka	4–0	4–0	2009 Kirin Cup
10 October 2009	Nissan Stadium , Yokohama	2–0	2–0	Friendly Match (2009 Kirin Challenge Cup)
14 October 2009	Miyagi Stadium , Rifu	5–0	5–0	Friendly Match (2009 Kirin Challenge Cup)
3 March 2010	Toyota Stadium , Toyota	2–0	2–0	2011 AFC Asian Cup qualification
14 June 2010	Free State Stadium , Bloemfontein	1–0	1–0	2010 FIFA World Cup
24 June 2010	Royal Bafokeng Stadium , Rustenburg	1–0	3–1	2010 FIFA World Cup
13 January 2011	Qatar SC Stadium , Doha	2–1	2–1	2011 AFC Asian Cup
10 August 2011	Sapporo Dome , Sapporo	2–0	3–0	Friendly Match (2011 Kirin Challenge Cup)
3 June 2012	Saitama Stadium 2002 , Saitama	1–0	3–0	2014 FIFA World Cup qualification
8 June 2012	Saitama Stadium 2002 , Saitama	2–0	6–0	2014 FIFA World Cup qualification
8 June 2012	Saitama Stadium 2002 , Saitama	3–0	6–0	2014 FIFA World Cup qualification
8 June 2012	Saitama Stadium 2002 , Saitama	5–0	6–0	2014 FIFA World Cup qualification
6 February 2013	Home's Stadium Kobe , Kobe	2–0	3–0	Friendly
4 June 2013	Saitama Stadium 2002 , Saitama	1–1	1–1	2014 FIFA World Cup qualification
19 June 2013	Itaipava Arena Pernambuco , Recife	1–0	3–4	2013 FIFA Confederations Cup
14 August 2013	Miyagi Stadium , Rifu	2–4	2–4	Friendly
6 September 2013	Nagai Stadium , Osaka	1–0	3–0	Friendly
10 September 2013	International Stadium Yokohama , Kanagawa	3–1	3–1	Friendly
As of 6 September 2013.	As of 6 September 2013.	As of 6 September 2013.	As of 6 September 2013.	As of 6 September 2013.
