Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1992	Andrey Antropov	Natalia Ivanova	Vyacheslav Elizarov Sergey Melnikov	Natalia Ivanova Julia Martynenko	Andrey Antropov Olga Chernyshova
1993	Andrey Antropov	Marina Yakusheva	Andrey Antropov Nikolai Zuyev	Natalia Ivanova Julia Martynenko	Nikolai Zuyev Marina Yakuscheva
1994	Alexey Sidorov	Marina Andrievskaia	Nikolai Zuyev Eugeniy Nazarenko	Marina Andrievskaia Elena Rybkina	Nikolai Zuyev Marina Andrievskaia
1995	Vladislav Tikhomirov	Elena Rybkina	Nikolai Zuyev Pavel Uvarov	Marina Yakusheva Svetlana Alferova	Sergey Melnikov Marina Yakusheva
1996	Andrey Antropov	Marina Yakusheva	Andrey Antropov Nikolai Zuyev	Marina Yakusheva Nadezhda Chervjakova	Sergey Melnikov Marina Yakusheva
1997	Pavel Uvarov	Ella Karachkova	Andrey Antropov Nikolai Zuyev	Natalia Gorodnicheva Elena Sukhareva	Sergey Melnikov Svetlana Alferova
1998	Stanislav Pukhov	Elena Sukhareva	Andrey Antropov Nikolai Zuyev	Natalia Gorodnicheva Elena Yakusheva	Vadim Itzkov Elena Sukhareva
1999	Pavel Uvarov	Ella Karachkova	Pavel Uvarov Vjacheslav Vorobjov	Nadezhda Chervjakova Natalia Djachkova	Pavel Uvarov Ella Karachkova
2000	Pavel Uvarov	Marina Yakusheva	Alexandr Nikolaenko Nikolaj Nikolaenko	Julia Martynenko Irina Rusljakova	Artur Khachaturjan Marina Yakusheva
2001	Stanislav Pukhov	Ella Karachkova	Stanislav Pukhov Andrei Jolobov	Ella Karachkova Anastasia Russkikh	Alexandr Russkikh Anastasia Russkikh
2002	Egor Izotov	Ella Karachkova	Alexandr Nikolaenko Nikolaj Nikolaenko	Anastasia Russkih Ekaterina Ananina	Nikolai Zuyev Marina Yakusheva
2003	Stanislav Pukhov	Ella Karachkova	Stanislav Pukhov Nikolai Zuyev	Natalia Gorodnicheva Elena Sukhareva	Nikolai Zuyev Marina Yakusheva
2004	Evgeni Isakov	Ella Karachkova	Alexandr Nikolaenko Vitali Durkin	Elena Schimko Marina Yakusheva	Nikolai Zuyev Marina Yakusheva
2005	Stanislav Pukhov	Ella Karachkova	Alexandr Nikolaenko Vitali Durkin	Anastasia Russkikh Ella Karachkova	Nikolai Zuyev Marina Yakusheva
2006	Sergey Ivlev	Ella Karachkova	Alexandr Nikolaenko Vitali Durkin	Nina Vislova Valeria Sorokina	Stanislav Pukhov Marina Yakusheva
2007	Stanislav Pukhov	Ella Karachkova	Alexander Nikolaenko Vitali Durkin	Nina Vislova Valeria Sorokina	Alexandr Nikolaenko Nina Vislova
2008	Vladimir Ivanov	Ella Karachkova	Alexey Vasiliev Yevgenij Dremin	Nina Vislova Valeria Sorokina	Alexandr Nikolaenko Nina Vislova
2009	Vladimir Malkov	Ella Karachkova	Alexander Nikolaenko Vitali Durkin	Anastasia Russkikh Ekaterina Ananina	Evgenij Dremin Anastasia Russkikh
