Year	Award ceremony	Category	Nominee	Result
2004	Broadway.com Audience Awards	Favorite Actress in a Musical	Idina Menzel	Won
2004	Broadway.com Audience Awards	Favorite Diva Performance	Idina Menzel	Won
2004	Broadway.com Audience Awards	Favorite Musical	Favorite Musical	Won
2004	Broadway.com Audience Awards	Favorite Onstage Pair	Kristin Chenoweth and Idina Menzel	Won
2004	s Drama Desk Award	Outstanding Actress in a Musical	Kristin Chenoweth	Nominated
2004	s Drama Desk Award	Outstanding Actress in a Musical	Idina Menzel	Nominated
2004	s Drama Desk Award	Outstanding Book of a Musical	Winnie Holzman	Won
2004	s Drama Desk Award	Outstanding Costume Design	Susan Hilferty	Won
2004	s Drama Desk Award	Outstanding Director of a Musical	Joe Mantello	Won
2004	s Drama Desk Award	Outstanding Lighting Design	Kenneth Posner	Nominated
2004	s Drama Desk Award	Outstanding Lyrics	Stephen Schwartz	Won
2004	s Drama Desk Award	Outstanding Music	Stephen Schwartz	Nominated
2004	s Drama Desk Award	Outstanding Musical	Outstanding Musical	Won
2004	s Drama Desk Award	Outstanding Orchestrations	William David Brohn	Won
2004	s Drama Desk Award	Outstanding Set Design	Eugene Lee	Won
2004	s Drama League Award	Distinguished Performance	Kristin Chenoweth	Nominated
2004	s Drama League Award	Distinguished Performance	Idina Menzel	Nominated
2004	s Drama League Award	Distinguished Production of a Musical	Distinguished Production of a Musical	Won
2004	Eddy Awards	Outstanding Costume Design	Susan Hilferty	Won
2004	s Tony Award	Best Actress in a Musical	Kristin Chenoweth	Nominated
2004	s Tony Award	Best Actress in a Musical	Idina Menzel	Won
2004	s Tony Award	Best Book of a Musical	Winnie Holzman	Nominated
2004	s Tony Award	Best Choreography	Wayne Cilento	Nominated
2004	s Tony Award	Best Costume Design	Susan Hilferty	Won
2004	s Tony Award	Best Lighting Design	Kenneth Posner	Nominated
2004	s Tony Award	Best Musical	Best Musical	Nominated
2004	s Tony Award	Best Orchestrations	William David Brohn	Nominated
2004	s Tony Award	Best Original Score	Stephen Schwartz	Nominated
2004	s Tony Award	Best Scenic Design	Eugene Lee	Won
2004	s Outer Critics Circle Award	Outstanding Actress in a Musical	Idina Menzel	Nominated
2004	s Outer Critics Circle Award	Outstanding Actress in a Musical	Kristin Chenoweth	Nominated
2004	s Outer Critics Circle Award	Outstanding Broadway Musical	Outstanding Broadway Musical	Won
2004	s Outer Critics Circle Award	Outstanding Choreography	Wayne Cilento	Nominated
2004	s Outer Critics Circle Award	Outstanding Costume Design	Susan Hilferty	Won
2004	s Outer Critics Circle Award	Outstanding Director of a Musical	Joe Mantello	Won
2004	s Outer Critics Circle Award	Outstanding Featured Actor in a Musical	Joel Grey	Nominated
2004	s Outer Critics Circle Award	Outstanding Featured Actress in a Musical	Carole Shelley	Nominated
2004	s Outer Critics Circle Award	Outstanding Lighting Design	Kenneth Posner	Nominated
2004	s Outer Critics Circle Award	Outstanding Set Design	Eugene Lee	Won
2005	Broadway.com Audience Awards	Favorite Female Replacement	Shoshana Bean	Nominated
2005	Broadway.com Audience Awards	Favorite Female Replacement	Jennifer Laura Thompson	Won
2005	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2005	Broadway.com Audience Awards	Favorite Male Replacement	Joey McIntyre	Won
2005	s Grammy Award	Best Musical Show Album	Wicked (Original Broadway Cast Recording)	Won
2006	Broadway.com Audience Awards	Favorite Female Replacement	Eden Espinosa	Won
2006	Broadway.com Audience Awards	Favorite Female Replacement	Megan Hilty	Nominated
2006	Broadway.com Audience Awards	Favorite Female Replacement	Carol Kane	Nominated
2006	Broadway.com Audience Awards	Favorite Female Replacement	Rue McClanahan	Nominated
2006	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2006	Broadway.com Audience Awards	Favorite Male Replacement	Ben Vereen	Won
2007	Broadway.com Audience Awards	Favorite Female Replacement	Julia Murney	Nominated
2007	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2007	Broadway.com Audience Awards	Favorite Male Replacement	Sebastian Arcelus	Nominated
2008	Broadway.com Audience Awards	Favorite Female Replacement	Annaleigh Ashford	Nominated
2008	Broadway.com Audience Awards	Favorite Female Replacement	Stephanie J. Block	Nominated
2008	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Nominated
2009	Broadway.com Audience Awards	Favorite Female Breakthrough Performance	Kerry Ellis	Won
2009	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2009	Broadway.com Audience Awards	Favorite Male Replacement	Aaron Tveit	Nominated
2010	Broadway.com Audience Awards	Favorite Female Replacement	Mandy Gonzalez	Won
2010	Broadway.com Audience Awards	Favorite Long-Running Broadway Show	Favorite Long-Running Broadway Show	Won
2010	Broadway.com Audience Awards	Favorite Male Replacement	Andy Karl	Nominated
2011	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2012	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2013	Broadway.com Audience Awards	Favorite Replacement	Willemijn Verkaik	Nominated
2013	Broadway.com Audience Awards	Favorite Long-Running Show	Favorite Long-Running Show	Won
2013	Broadway.com Audience Awards	Favorite Tour	Favorite Tour	Won
