District	Incumbent	Party	First elected	Result	Candidates
Georgia 1	Charles Gordon Edwards	Democratic	1924	Re-elected	Charles Gordon Edwards (D) Unopposed
Georgia 2	Edward E. Cox	Democratic	1924	Re-elected	Edward E. Cox (D) Unopposed
Georgia 3	Charles R. Crisp	Democratic	1912	Re-elected	Charles R. Crisp (D) Unopposed
Georgia 4	William C. Wright	Democratic	1918	Re-elected	William C. Wright (D) Unopposed
Georgia 5	William D. Upshaw	Democratic	1918	Lost renomination Democratic hold	Leslie Jasper Steele (D) Unopposed
Georgia 6	Samuel Rutherford	Democratic	1924	Re-elected	Samuel Rutherford (D) Unopposed
Georgia 7	Gordon Lee	Democratic	1904	Retired Democratic hold	Malcolm C. Tarver (D) Unopposed
Georgia 8	Charles H. Brand	Democratic	1916	Re-elected	Charles H. Brand (D) Unopposed
Georgia 9	Thomas Montgomery Bell	Democratic	1904	Re-elected	Thomas Montgomery Bell (D) Unopposed
Georgia 10	Carl Vinson	Democratic	1914	Re-elected	Carl Vinson (D) Unopposed
Georgia 11	William C. Lankford	Democratic	1918	Re-elected	William C. Lankford (D) Unopposed
