Barangay	Population (2010)	Economic Class	Land Area (In sqm.)	Punong Barangay (Term 2010-2013)
Aggasian	3,436	Rural	264	Noli B. Bolar
Alibagu	6,524	Urban	7,214	Alfred J. Alluad
Alinguigan 1st	1,796	Rural	459	Elpidio N. Manaligod
Alinguigan 2nd	3,050	Rural	7,015	Antonio B. Gangan
Alinguigan 3rd	1,181	Rural	1,765	Felipe B. Manaligod
Arusip	786	Rural	209	Fernando F. Domingo
Baculud	4,348	Urban	3,214	Remigio D. Balisi
Bagong Silang	542	Rural	258	Herson W. Tolentino
Bagumbayan	2,274	Urban	4,317	Danilo M. Toribio
Baligatan	2,016	Urban	6,815	Roger B. Ramos
Ballacong	763	Rural	135	Roberto S. Bernardo
Bangag	1,221	Rural	112	Sofronio F. Laggui
Batong-Labang	2,259	Rural	135	Florante E. Baysa
Bigao	1,387	Rural	225	Daniel V. Cristobal
Cabannungan 1st	749	Rural	715	Joefry M. Tabug
Cabannungan 2nd	1,486	Rural	715	Joey L. Ramos
Cabeseria 2 (Dappat)	1,115	Rural	135	Reynaldo C. Edrada
Cabeseria 3 (San Fernando)	785	Rural	135	Leandro P. Castillo
Cabeseria 4 (San Manuel)	545	Rural	135	Joseph A. Mata
Cabeseria 5 (Baribad)	808	Rural	135	Precila M. Domingo
Cabeseria 6 & 24 (Villa Marcos)	1,166	Rural	135	Virgilio R. Aunzo
Cabeseria 7 (Nangalisan)	802	Rural	215	Eligio B. Salvador
Cabeseria 8 (Sta. Maria)	1,159	Rural	135	Felix P. Maltu
Cabeseria 9 & 11 (Capogotan)	1,464	Rural	235	Tito B. Curampez
Cabeseria 10 (Lupigui)	1,751	Rural	235	Charlito C. Servilla
Cabeseria 14 & 16 (Casilagan)	2,303	Rural	182	Franklin G. Cortez
Cabeseria 17 & 21 (San Rafael)	1,188	Rural	235	Robinson V. Ilayat
Cabeseria 19 (Villa Suerte)	826	Rural	135	Maximiano N. Benedicto
Cabeseria 22 (Sablang)	875	Rural	225	Bernard G. Villanueva
Cabeseria 23 (San Francisco)	887	Rural	135	Antony F. Bernabe
Cabeseria 25 (Sta. Lucia)	788	Rural	112	Marcos J. Agcaoili
Cabeseria 27 (Abuan)	857	Rural	165	Domingo B. Quitola
Cadu	576	Rural	112	Leopoldo A. Ancheta
Calamagui 1st	3,450	Urban	290	Hilario Edmund V. Birung
Calamagui 2nd	2,944	Urban	5,315	Alex F. Agor
Carikkikan Norte	424	Rural	235	Eduardo B. Borillo
