Place	Player	Country	Score	To par	Money ( $ )
1	Cristie Kerr	United States	71-72-66-70=279	–5	560,000
T2	Angela Park	Brazil	68-69-74-70=281	–3	271,022
T2	Lorena Ochoa	Mexico	71-71-68-71=281	–3	271,022
T4	Se Ri Pak	South Korea	74-72-68-68=282	–2	130,549
T4	Inbee Park	South Korea	69-73-71-69=282	–2	130,549
6	Jiyai Shin	South Korea	70-69-71-74=284	E	103,581
7	Jee Young Lee	South Korea	72-71-71-71=285	+1	93,031
T8	Mi Hyun Kim	South Korea	71-75-70-70=286	+2	82,464
T8	Jeong Jang	South Korea	72-71-70-73=286	+2	82,464
T10	Ai Miyazato	Japan	73-73-72-69=287	+3	66,177
T10	Kyeong Bae	South Korea	74-71-72-70=287	+3	66,177
T10	Julieta Granada	Paraguay	70-69-75-73=287	+3	66,177
T10	Morgan Pressel	United States	71-70-69-77=287	+3	66,177
