Place	Player	Country	Score	To par
1	Nick Faldo	England	66-64-69=199	–14
T2	Steve Pate	United States	64-70-69=203	–10
T2	John Cook	United States	66-67-70=203	–10
T4	Donnie Hammond	United States	70-65-70=205	–8
T4	Ernie Els	South Africa	66-69-70=205	–8
T4	Gordon Brand, Jnr	Scotland	65-68-72=205	–8
T7	Chip Beck	United States	71-68-67=206	–7
T7	José María Olazábal	Spain	70-67-69=206	–7
9	Larry Rinker	United States	69-68-70=207	–6
T10	Malcolm MacKenzie	England	71-67-70=208	–5
T10	Robert Karlsson	Sweden	70-68-70=208	–5
T10	Sandy Lyle	Scotland	68-70-70=208	–5
T10	Ian Woosnam	Wales	65-73-70=208	–5
T10	Raymond Floyd	United States	64-71-73=208	–5
