Name	GNIS Feature ID	State	County	Type	USGS 7.5' Map
Diamond Lake	1412903	AK	Kenai Peninsula	lake	Tyonek A-1 SW
Diamond Lake	1401180	AK	Matanuska-Susitna	lake	Tyonek C-1 SE
Diamond Lake	79643	AR	Izard	reservoir	Myron
Diamond Lake	222350	CA	Merced	reservoir	Pacheco Pass
Diamond Lake	259344	CA	Siskiyou	lake	English Peak
Diamond Lake	259343	CA	Tehama	lake	Lyonsville
Diamond Lake	222349	CA	Trinity	lake	Siligo Peak
Diamond Lake	181010	CO	Boulder	lake	East Portal
Diamond Lake	179885	CO	Lake	lake	Leadville North
Diamond Lake	179929	CO	Lake	reservoir	Climax
Diamond Lake	206682	CT	Hartford	lake	Marlborough
Diamond Lake	330735	GA	Gilmer	reservoir	Tickanetley
Diamond Lake	455907	IA	Dickinson	lake	Okoboji
Diamond Lake	455908	IA	Poweshiek	lake	Montezuma
Diamond Lake	380577	ID	Elmore	lake	Nahneke Mountain
Diamond Lake	380576	ID	Idaho	lake	Hunter Peak
Diamond Lake	407182	IL	Lake	lake	Grayslake
Diamond Lake	433531	IN	Kosciusko	lake	Silver Lake
Diamond Lake	433530	IN	Noble	lake	Ligonier
Diamond Lake	624634	MI	Cass	lake	Vandalia
Diamond Lake	624636	MI	Mecosta	lake	Mecosta NW
Diamond Lake	1619713	MI	Newaygo	lake	White Cloud
Diamond Lake	624637	MI	Osceola	lake	Le Roy
Diamond Lake	624635	MI	Shiawassee	lake	Laingsburg
Diamond Lake	642802	MN	Aitkin	lake	Spirit Lake
Diamond Lake	655988	MN	Cass	lake	Webb Lake
Diamond Lake	655987	MN	Cook	lake	Munker Island
Diamond Lake	642799	MN	Hennepin	lake	Minneapolis South
Diamond Lake	642804	MN	Hennepin	lake	Rogers
Diamond Lake	642803	MN	Hubbard	lake	Lake Hattie
Diamond Lake	642800	MN	Kandiyohi	lake	Atwater
Diamond Lake	1776001	MN	Kandiyohi	reservoir	Atwater
Diamond Lake	642798	MN	Le Sueur	lake	Kilkenny
Diamond Lake	642801	MN	Pope	lake	Lowry
Diamond Lake	805956	MT	Carbon	lake	Fossil Lake
Diamond Lake	782360	MT	Flathead	lake	Amphitheatre Mountain
Diamond Lake	782357	MT	Madison	lake	Beacon Point
Diamond Lake	782359	MT	Mineral	lake	Torino Peak
Diamond Lake	782358	MT	Park	lake	Crazy Peak
Diamond Lake	1844933	NE	Brown	lake	Koshopah NE
Diamond Lakes	1883153	NE	Gage	reservoir	Odell
Diamond Lake	828711	NE	Sheridan	lake	Twin Lakes
Diamond Lake	875909	NJ	Gloucester	reservoir	Buena
Diamond Lake	948414	NY	Hamilton	lake	Morehouse Lake
Diamond Lake	1140999	OR	Douglas	lake	Diamond Lake
Diamond Lake	1141000	OR	Union	lake	Steamboat Lake
Diamond Lake	1173222	PA	Huntingdon	lake	Franklinville
Diamond Lake	1254685	SD	Minnehaha	lake	Buffalo Trading Post
Diamond Lake	1440448	UT	Duchesne	lake	Tworoose Pass
Diamond Lake	1440449	UT	Summit	lake	Mirror Lake
Diamond Lake	1518752	WA	Kittitas	lake	Polallie Ridge
Diamond Lake	1518754	WA	Pend Oreille	lake	Diamond Lake
Diamond Lake	1518753	WA	Snohomish	lake	Lime Mountain
Diamond Lake	1518751	WA	Yakima	lake	Jennies Butte
Diamond Lake	1579126	WI	Bayfield	lake	Diamond Lake
Diamond Lake	1579127	WI	Oneida	lake	Lac du Flambeau SW
Diamond Lake	1563966	WI	Polk	lake	Frederic
Diamond Lake	1579125	WI	Taylor	lake	Lublin
Diamond Lake	1563967	WI	Vilas	lake	Boulder Junction
Diamond Lake	1587590	WY	Albany	lake	Bosler
Diamond Lake	1587591	WY	Johnson	lake	Cloud Peak
Diamond Lake	1599242	WY	Sublette	lake	Temple Peak
