Place	Player	Country	Score	To par	Money ( £ )
T1	Mark Calcavecchia	United States	71-68-68-68=275	–13	Playoff
T1	Greg Norman	Australia	69-70-72-64=275	–13	Playoff
T1	Wayne Grady	Australia	68-67-69-71=275	–13	Playoff
4	Tom Watson	United States	69-68-68-72=277	–11	40,000
5	Jodie Mudd	United States	73-67-68-70=278	–10	30,000
T6	Fred Couples	United States	68-71-68-72=279	–9	26,000
T6	David Feherty	Northern Ireland	71-67-69-72=279	–9	26,000
T8	Eduardo Romero	Argentina	68-70-75-67=280	–8	21,000
T8	Paul Azinger	United States	68-73-67-72=280	–8	21,000
T8	Payne Stewart	United States	72-65-69-74=280	–8	21,000
