Week	Date	Opponent	Result	Venue	Attendance
1	September 15, 1974	Minnesota Vikings	L 32-17	Lambeau Field	56,267
2	September 22, 1974	at Baltimore Colts	W 20-13	Memorial Stadium	41,252
3	September 29, 1974	Detroit Lions	W 21-19	Milwaukee County Stadium	47,292
4	October 6, 1974	Buffalo Bills	L 27-7	Lambeau Field	56,267
5	October 13, 1974	Los Angeles Rams	W 17-6	Milwaukee County Stadium	47,499
6	October 21, 1974	at Chicago Bears	L 10-9	Soldier Field	50,623
7	October 27, 1974	at Detroit Lions	L 19-17	Tiger Stadium	51,775
8	November 3, 1974	Washington Redskins	L 17-6	Lambeau Field	56,267
9	November 10, 1974	Chicago Bears	W 20-3	Milwaukee County Stadium	46,567
10	November 17, 1974	at Minnesota Vikings	W 19-7	Metropolitan Stadium	47,924
11	November 24, 1974	San Diego Chargers	W 34-0	Lambeau Field	56,267
12	December 1, 1974	at Philadelphia Eagles	L 36-14	Veterans Stadium	42,030
13	December 8, 1974	at San Francisco 49ers	L 7-6	Candlestick Park	47,475
14	December 15, 1974	at Atlanta Falcons	L 10-3	Atlanta Stadium	10,020
