Week	Date	Opponent	Result	TV Time
1	September 9, 2001	at Kansas City Chiefs	W 27–24	CBS 1:00et
2	September 23, 2001	at Miami Dolphins	L 18–15	CBS 1:00et
3	September 30, 2001	Seattle Seahawks	W 38–14	CBS 4:15et
4	October 7, 2001	Dallas Cowboys	W 28–21	FOX 4:15et
5	October 14, 2001	at Indianapolis Colts	W 23–18	ESPN 8:30et
6	Bye	Bye	Bye	Bye
7	October 28, 2001	at Philadelphia Eagles	W 20–10	CBS 4:15et
8	November 5, 2001	Denver Broncos	W 38–28	ABC 9:00et
9	November 11, 2001	at Seattle Seahawks	L 34–27	ESPN 8:30et
10	November 18, 2001	San Diego Chargers	W 34–24	CBS 4:05et
11	November 25, 2001	at New York Giants	W 28–10	CBS 4:15et
12	December 2, 2001	Arizona Cardinals	L 34–31	FOX 4:15et
13	December 9, 2001	Kansas City Chiefs	W 28–26	CBS 4:15et
14	December 15, 2001	at San Diego Chargers	W 13–6	CBS 5:00et
15	December 22, 2001	Tennessee Titans	L 13–10	ABC 9:00et
16	December 30, 2001	at Denver Broncos	L 23–17	CBS 4:15et
17	January 6, 2002	New York Jets	L 24–22	CBS 4:15et
