Rider	Bike	Laps	Time	Grid
Joan Lascorz	Honda CBR600RR	23	37:58.607	2
Fabien Foret	Yamaha YZF-R6	23	+1.125	9
Craig Jones	Honda CBR600RR	23	+1.530	3
Broc Parkes	Yamaha YZF-R6	23	+10.514	4
Gianluca Nannelli	Honda CBR600RR	23	+17.492	17
Jonathan Rea	Honda CBR600RR	23	+17.602	6
Massimo Roccoli	Yamaha YZF-R6	23	+19.636	7
Ángel Rodríguez	Yamaha YZF-R6	23	+19.694	23
Chris Walker	Kawasaki ZX-6R	23	+25.230	14
Mark Aitchinson	Triumph 675	23	+25.702	21
Katsuaki Fujiwara	Kawasaki ZX-6R	23	+32.370	5
Gianluca Vizziello	Honda CBR600RR	23	+33.591	15
Matthieu Lagrive	Honda CBR600RR	23	+34.706	11
Vesa Kallio	Honda CBR600RR	23	+39.956	24
Miguel Praia	Honda CBR600RR	23	+40.227	25
David Salom	Yamaha YZF-R6	23	+40.357	16
William de Angelis	Honda CBR600RR	23	+41.411	26
Arnaud Vincent	Kawasaki ZX-6R	23	+53.810	27
Andrew Pitt	Honda CBR600RR	23	+56.968	1
Didier van Keymeulen	Suzuki GSX-R600	23	+59.575	30
Gergő Talmácsi	Honda CBR600RR	23	+1:13.069	29
Luka Nedog	Honda CBR600RR	23	+1:27.385	35
Attila Magda	Honda CBR600RR	23	+1:29.031	36
Santiago Barragán	Honda CBR600RR	14	Retirement	34
Mirko Giansanti	Honda CBR600RR	14	Retirement	28
Barry Veneman	Suzuki GSX-R600	13	Retirement	13
Grégory Leblanc	Honda CBR600RR	11	Accident	20
Adrián Bonastre	Honda CBR600RR	11	Retirement	31
Ivan Clementi	Triumph 675	9	Retirement	10
Graeme Gowland	Honda CBR600RR	8	Accident	12
Robbin Harms	Honda CBR600RR	5	Accident	19
Josh Brookes	Honda CBR600RR	4	Retirement	8
Garry McCoy	Triumph 675	4	Retirement	22
Ilario Dionisi	Triumph 675	1	Accident	18
Lorenzo Alfonsi	Honda CBR600RR	1	Accident	32
Danilo dell'Omo	Honda CBR600RR	1	Accident	33
