Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment	Position in table
Bayer 04 Leverkusen	Michael Skibbe	Sacked	30 June 2008[ citation needed ]	Bruno Labbadia	1 July 2008[ citation needed ]	Pre-season
FC Bayern Munich	Ottmar Hitzfeld	End of contract	30 June 2008	Jürgen Klinsmann	1 July 2008	Pre-season
Borussia Dortmund	Thomas Doll	Resigned	30 June 2008[ citation needed ]	Jürgen Klopp	1 July 2008[ citation needed ]	Pre-season
Hamburger SV	Huub Stevens	End of contract	30 June 2008	Martin Jol	1 July 2008	Pre-season
FC Schalke 04	Mike Büskens & Youri Mulder	Stepped down to assistant position	30 June 2008	Fred Rutten	1 July 2008	Pre-season
Borussia Mönchengladbach	Jos Luhukay	Sacked	5 October 2008	Hans Meyer	18 October 2008	18th
VfB Stuttgart	Armin Veh	Sacked	23 November 2008	Markus Babbel	23 November 2008	11th
FC Schalke 04	Fred Rutten	Sacked	26 March 2009	Mike Büskens , Youri Mulder and Oliver Reck	1 April 2009	8th
FC Bayern Munich	Jürgen Klinsmann	Sacked	27 April 2009	Jupp Heynckes	27 April 2009	3rd
Arminia Bielefeld	Michael Frontzeck	Sacked	17 May 2009	Jörg Berger	19 May 2009	16th
