Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	166	1:29:01.061	3	32
Bruno Junqueira	Newman/Haas Racing	166	+0.066 secs	4	29
Patrick Carpentier	Forsythe Racing	166	+4.091 secs	1	27
Rodolfo Lavín	Forsythe Racing	166	+6.227 secs	6	23
Jimmy Vasser	PKV Racing	166	+6.302 secs	2	21
A. J. Allmendinger	RuSPORT	166	+6.938 secs	7	19
Mario Domínguez	Herdez Competition	166	+6.941 secs	9	17
Justin Wilson	Mi-Jack Conquest Racing	166	+7.310 secs	15	16
Nelson Philippe	Mi-Jack Conquest Racing	166	+11.979 secs	13	13
Roberto González	PKV Racing	165	+ 1 Lap	10	11
Michel Jourdain, Jr.	RuSPORT	165	+ 1 Lap	5	10
Oriol Servià	Dale Coyne Racing	164	+ 2 Laps	18	10
Ryan Hunter-Reay	Herdez Competition	164	+ 2 Laps	8	8
Mario Haberfeld	Walker Racing	162	+ 4 Laps	17	7
Gastón Mazzacane	Dale Coyne Racing	160	+ 6 Laps	16	6
Alex Tagliani	Rocketsports Racing	163	+ 3 Laps	12	5*
Guy Smith	Rocketsports Racing	123	Engine	14	4
Paul Tracy	Forsythe Racing	0	Drive train	11	3
