Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Deportivo de La Coruña	30	43	18	7	5	53	19	+34
2	Celta de Vigo	30	39	17	5	8	54	28	+26
3	Real Gijón	30	36	15	6	9	67	50	+17
4	Real Oviedo	30	34	13	8	9	38	22	+16
5	Burgos CF	30	32	13	6	11	42	41	+1
6	SD Indauchu	30	32	14	4	12	47	47	0
7	CD Condal	30	32	14	4	12	55	46	+9
8	Real Santander	30	31	11	9	10	38	40	-2
9	CA Osasuna	30	31	13	5	12	39	41	-2
10	Real Sociedad	30	31	13	5	12	50	48	+2
11	UD Lérida	30	30	10	10	10	37	31	+6
12	CF Badalona	30	30	13	4	13	32	41	-9
13	UP Langreo	30	23	10	3	17	37	58	-21
14	CD Europa	30	23	9	5	16	33	49	-16
15	CD Hospitalet	30	19	9	1	20	37	63	-26
16	Baracaldo AH	30	14	5	4	21	24	59	-35
