Match No.	Date	Time	Score	Venue	Match Report
1	2008-03-21	12:00	4 – 8	Cortuba	Match Report
3	2008-03-21	16:00	9 – 0	Cortuba	Match Report
6	2008-03-22	18:00	8 – 4	Cortuba	Match Report
8	2008-03-22	20:00	9 – 2	Cortuba	Match Report
10	2008-03-23	18:00	2 – 2	Cortuba	Match Report
12	2008-03-23	20:00	3 – 10	Cortuba	Match Report
13	2008-03-24	18:00	1 – 1	Cortuba	Match Report
14	2008-03-24	20:00	8 – 4	African Union	Match Report
19	2008-03-25	18:00	5 – 6	Cortuba	Match Report
20	2008-03-25	20:00	6 – 5	African Union	Match Report
