Team	Location	Venue	Capacity	Position in 1998
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	1
BATE	Borisov	City Stadium, Borisov	5,500	2
Belshina	Bobruisk	Spartak, Bobruisk	3,550	3
Lokomotiv-96	Vitebsk	Central, Vitebsk	8,300	4
Gomel	Gomel	Central, Gomel	11,800	5
Slavia	Mozyr	Yunost, Mozyr	5,500	6
Torpedo-MAZ	Minsk	Torpedo, Minsk	5,200	7
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	8
Dinamo Brest	Brest	Dinamo, Brest	10,080	9
Neman-Belcard	Grodno	Neman	6,300	10
Shakhtyor	Soligorsk	Stroitel	5,000	11
Torpedo-Kadino	Mogilev	Torpedo, Mogilev	3,500	12
Naftan-Devon	Novopolotsk	Atlant	6,500	13
Molodechno	Molodechno	City Stadium, Molodechno	5,500	14
Lida	Lida	City Stadium, Lida	4,000	First league , 1
Svisloch-Krovlya	Osipovichi	Yunost, Osipovichi	4,000	First league , 2
