Place	Name	Country	Score	To par	Money ( $ )
1	Horton Smith	United States	70-72-70-72=284	–4	1,500
2	Craig Wood	United States	71-74-69-71=285	–3	800
T3	Billy Burke	United States	72-71-70-73=286	–2	550
T3	Paul Runyan	United States	74-71-70-71=286	–2	550
5	Ed Dudley	United States	74-69-71-74=288	E	400
6	Willie Macfarlane	Scotland	74-73-70-74=291	+3	300
T7	Al Espinosa	United States	75-70-75-72=292	+4	175
T7	Jimmy Hines	United States	70-74-74-74=292	+4	175
T7	Harold "Jug" McSpaden	United States	77-74-72-69=292	+4	175
T7	Macdonald Smith	Scotland	74-70-74-74=292	+4	175
