Episode #	Series #	Episode Title	Original air date	Production Code
27	1	"Return to Genesis"	5April2008	201
28	2	"The Suspension"	6April2008	202
29	3	"A Team Reinvented"	12April2008	203
30	4	"The New Captain"	13April2008	204
31	5	"The Homecoming"	19April2008	205
32	6	"Netherball Rules!"	20April2008	206
33	7	"Doubts Within"	26April2008	207
34	8	"Rocket's decent."	27April2008	208
35	9	"The All-Stars"	3May2008	209
36	10	"Rocket vs Sinedd"	4May2008	210
37	11	"The Champions Stumble"	10May2008	211
38	12	"Last Stand"	11May2008	212
39	13	"Fluxless"	17May2008	213
40	14	"New Order"	26July2008	214
41	15	"Revelations"	27July2008	215
42	16	"New Rules"	2August2008	216
43	17	"Open Doors"	3August2008	217
44	18	"Warren Steps In"	9August2008	218
45	19	"The Technodroid V3s"	10August2008	219
46	20	"The Fallen Star"	16August2008	220
47	21	"Coach Artegor"	17August2008	221
48	22	"Rocket, The Midfielder"	23August2008	222
49	23	"Destiny"	24August2008	223
50	24	"Final Preparations"	31August2008	224
51	25	"A Team Unravels"	31August2008	225
