Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1964	Feliks Glapka , Poznań	Teresa Masłowska , Warszawa	Feliks Glapka Marian Grys , Poznań	no competition	Bolesław Suterski Stanisława Suterska , Poznań
1965	Aleksander Koczur , Kraków	Teresa Masłowska , Warszawa	Andrzej Domagała Krzysztof Englander , Wrocław	no competition	Bolesław Suterski Stanisława Suterska , Poznań
1966	Wiesław Świątczak , Łódź	Teresa Masłowska , Warszawa	Andrzej Domagała Krzysztof Englander , Wrocław	no competition	Wiesław Świątczak Irena Józefowicz , Łódź
1967	Wiesław Świątczak , Łódź	Barbara Rojewska , Olsztyn	Andrzej Domagała Krzysztof Englander , Wrocław	no competition	Krzysztof Englander Bożena Basińska , Wrocław
1968	Krzysztof Englander , Wrocław	Irena Karolczak , Wrocław	Jerzy Przybylski Lech Woźny , Poznań	no competition	Krzysztof Englander Irena Karolczak , Wrocław
1969	Andrzej Domagała , Wrocław	Teresa Masłowska , Warszawa	Andrzej Domagała Krzysztof Englander , Wrocław	no competition	Bogusław Żołądkowski Teresa Masłowska , Warszawa
1970	Wiesław Świątczak , Łódź	Irena Karolczak , Wrocław	Jerzy Przybylski Lech Woźny , Poznań	no competition	Jan Makarus Jolanta Proch , Szczecin
1971	Wiesław Świątczak , Łódź	Lidia Baczyńska , Wrocław	Andrzej Domagała Krzysztof Englander , Wrocław	no competition	Wiesław Świątczak Ewa Astasiewicz , Łódź
1972	Wiesław Danielski	Irena Karolczak	Wiesław Danielski Zygmunt Skrzypczyński	Lidia Baczyńska Irena Karolczak	Leszek Nowakowski Hana Snochowska
1973	Andrzej Domagała	Irena Karolczak	Wiesław Danielski Zygmunt Skrzypczyński	no competition	Sławomir Wloszczynski Irena Karolczak
1974	Stanisław Rosko	Irena Karolczak	Ryszard Borek Stanisław Rosko	Irena Karolczak Hana Snochowska	Leszek Nowakowski Hana Snochowska
1975	Zygmunt Skrzypczyński	Irena Karolczak	Andrzej Domagała Wiesław Świątczak	Irena Karolczak Hana Snochowska	Leslaw Markowicz Irena Karolczak
1976	Zygmunt Skrzypczyński	Elżbieta Utecht	Krzysztof Englander Janusz Labisko	Irena Karolczak Wanda Czamańska	Leslaw Markowicz Irena Karolczak
1978	Zygmunt Skrzypczyński	Elżbieta Utecht	Zygmunt Skrzypczyński Sławomir Włoszyński	Bożena Wojtkowska Elżbieta Utecht	Janusz Labisko Anna Zyśk
1979	Brunon Rduch	Elżbieta Utecht	Zygmunt Skrzypczyński Sławomir Włoszyński	Bożena Wojtkowska Maria Bahryj	Zygmunt Skrzypczyński Elżbieta Utecht
1980	Zygmunt Skrzypczyński	Bożena Wojtkowska	Zygmunt Skrzypczyński Janusz Labisko	Bożena Wojtkowska Ewa Rusznica	Zygmunt Skrzypczyński Elżbieta Utecht
1981	Brunon Rduch	Bożena Wojtkowska	Brunon Rduch Norbert Węgrzyn	Bożena Wojtkowska Zofia Żółtańska	Jerzy Dołhan Ewa Rusznica
1982	Stanisław Rosko	Bożena Wojtkowska	Stanisław Rosko Kazimierz Ciurys	Bożena Wojtkowska Ewa Rusznica	Jerzy Dołhan Bożena Wojtkowska
1983	Stanisław Rosko	Ewa Rusznica	Jerzy Dołhan Grzegorz Olchowik	Bożena Wojtkowska Bożena Siemieniec	Kazimierz Ciurys Bożena Wojtkowska
1984	Stanisław Rosko	Bożena Wojtkowska	Jerzy Dołhan Grzegorz Olchowik	Bożena Wojtkowska Ewa Wilman	Kazimierz Ciurys Bożena Wojtkowska
1985	Grzegorz Olchowik	Bożena Wojtkowska	Jerzy Dołhan Grzegorz Olchowik	Bożena Siemieniec Zofia Żółtańska	Jerzy Dołhan Ewa Wilman
1986	Grzegorz Olchowik	Bożena Siemieniec	Jerzy Dołhan Grzegorz Olchowik	Bożena Siemieniec Zofia Żółtańska	Jerzy Dołhan Ewa Wilman
1987	Jerzy Dołhan	Bożena Haracz	Jerzy Dołhan Grzegorz Olchowik	Bożena Haracz Bożena Siemieniec	Jerzy Dołhan Bożena Haracz
1988	Jerzy Dołhan	Bożena Siemieniec	Jerzy Dołhan Grzegorz Olchowik	Bożena Haracz Bożena Siemieniec	Jerzy Dołhan Bożena Haracz
1989	Jacek Hankiewicz	Bożena Siemieniec	Jerzy Dołhan Jacek Hankiewicz	Bożena Haracz Bożena Siemieniec	Jerzy Dołhan Bożena Haracz
1990	Jacek Hankiewicz	Beata Syta	Jerzy Dołhan Jacek Hankiewicz	Bożena Haracz Beata Syta	Jerzy Dołhan Bożena Haracz
1991	Jacek Hankiewicz	Katarzyna Krasowska	Jerzy Dołhan Jacek Hankiewicz	Bożena Haracz Bożena Siemieniec	Jerzy Dołhan Bożena Haracz
1992	Dariusz Zięba	Katarzyna Krasowska	Jerzy Dołhan Jacek Hankiewicz	Bożena Haracz Bożena Bąk	Jerzy Dołhan Bożena Haracz
1993	Jacek Hankiewicz	Katarzyna Krasowska	Dariusz Zięba Jacek Hankiewicz	Bożena Haracz Bożena Bąk	Jerzy Dołhan Bożena Haracz
1994	Dariusz Zięba	Katarzyna Krasowska	Jerzy Dołhan Damian Pławecki	Monika Lipińska Sylwia Rutkiewicz	Damian Pławecki Dorota Borek
1995	Dariusz Zięba	Katarzyna Krasowska	Jerzy Dołhan Damian Pławecki	Dorota Borek Katarzyna Krasowska	Jerzy Dołhan Bożena Haracz
1996	Dariusz Zięba	Katarzyna Krasowska	Dariusz Zięba Jacek Hankiewicz	Monika Bienkowska Katarzyna Boczek	Robert Mateusiak Sylwia Rutkiewicz
1997	Jacek Niedźwiedzki	Katarzyna Krasowska	Jerzy Dołhan Damian Pławecki	Dorota Borek Katarzyna Krasowska	Damian Pławecki Dorota Borek
1998	Jacek Niedźwiedzki	Katarzyna Krasowska	Michał Łogosz Damian Pławecki	Bożena Haracz Katarzyna Krasowska	Damian Pławecki Dorota Grzejdak
1999	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Bożena Haracz Joanna Szleszyńska	Robert Mateusiak Monika Bienkowska
2000	Jacek Niedźwiedzki	Katarzyna Krasowska	Michał Łogosz Robert Mateusiak	Bożena Haracz Katarzyna Krasowska	Robert Mateusiak Barbara Kulanty
2001	Jacek Niedźwiedzki	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Barbara Kulanty Joanna Szleszyńska	Robert Mateusiak Barbara Kulanty
2002	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Joanna Szleszyńska	Robert Mateusiak Barbara Kulanty
2003	Jacek Niedźwiedzki	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Paulina Matusewicz	Robert Mateusiak Barbara Kulanty
2004	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadieżda Kostiuczyk	Robert Mateusiak Barbara Kulanty
2005	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadieżda Kostiuczyk	Robert Mateusiak Barbara Kulanty
2006	Przemysław Wacha	Angelika Węgrzyn	Rafał Hawel Przemysław Wacha	Kamila Augustyn Nadieżda Kostiuczyk	Robert Mateusiak Nadieżda Kostiuczyk
2007	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadieżda Kostiuczyk	Robert Mateusiak Nadieżda Kostiuczyk
2008	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Kamila Augustyn Nadieżda Kostiuczyk	Robert Mateusiak Nadieżda Kostiuczyk
2009	Przemysław Wacha	Kamila Augustyn	Michał Łogosz Robert Mateusiak	Małgorzata Kurdelska Agnieszka Wojtkowska	Robert Mateusiak Kamila Augustyn
