Player	Ranking	Event	Surface	Round	Score
2008 WTA Tour	2008 WTA Tour	2008 WTA Tour	2008 WTA Tour	2008 WTA Tour	2008 WTA Tour
Anna Chakvetadze	No. 6	Miami , United States	Hard	3rd Round	7–5, 6–1
2009 WTA Tour	2009 WTA Tour	2009 WTA Tour	2009 WTA Tour	2009 WTA Tour	2009 WTA Tour
Venus Williams	No. 5	Charleston , United States	Clay (green)	3rd Round	6–4, 7–6 (7–5)
Svetlana Kuznetsova	No. 5	Wimbledon , United Kingdom	Grass	3rd Round	6–2, 7–5
Caroline Wozniacki	No. 9	Wimbledon , United Kingdom	Grass	4th Round	6–4, 6–4
2011 WTA Tour	2011 WTA Tour	2011 WTA Tour	2011 WTA Tour	2011 WTA Tour	2011 WTA Tour
Li Na	No. 6	Stuttgart , Germany	Clay (i)	2nd Round	6–4, 7–5
Li Na	No. 4	Wimbledon , United Kingdom	Grass	2nd Round	3–6, 6–4, 8–6
Marion Bartoli	No. 9	Wimbledon , United Kingdom	Grass	Quarterfinals	6–4, 6–7 (7–9) , 6–1
Samantha Stosur	No. 10	Stanford , United States	Hard	2nd Round	6–3, 7–5
2012 WTA Tour	2012 WTA Tour	2012 WTA Tour	2012 WTA Tour	2012 WTA Tour	2012 WTA Tour
Maria Sharapova	No. 1	Wimbledon , United Kingdom	Grass	4th Round	6–4, 6–3
2013 WTA Tour	2013 WTA Tour	2013 WTA Tour	2013 WTA Tour	2013 WTA Tour	2013 WTA Tour
Serena Williams	No. 1	Wimbledon , United Kingdom	Grass	4th Round	6–2, 1–6, 6–4
Agnieszka Radwańska	No. 4	Wimbledon , United Kingdom	Grass	Semifinals	6–4, 2–6, 9–7
