Place	Player	Country	Score	To par	Money ( $ )
1	Vijay Singh	Fiji	72-67-70-69=278	–10	828,000
2	Ernie Els	South Africa	72-67-74-68=281	–7	496,800
T3	David Duval	United States	73-65-74-70=282	–6	266,800
T3	Loren Roberts	United States	73-69-71-69=282	–6	266,800
5	Tiger Woods	United States	75-72-68-69=284	–4	184,000
6	Tom Lehman	United States	69-72-75-69=285	–3	165,600
T7	Carlos Franco	Paraguay	79-68-70-69=286	–2	143,367
T7	Davis Love III	United States	75-72-68-71=286	–2	143,367
T7	Phil Mickelson	United States	71-68-76-71=286	–2	143,367
10	Hal Sutton	United States	72-75-71-69=287	–1	124,200
