Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Bedlinog RFC	22	20	1	1	490	190	59	12	7	1	90
Gilfach Goch RFC	22	15	0	7	420	259	53	28	8	5	73
Llantwit Fardre RFC	22	14	1	7	410	287	49	30	7	4	69
Tylorstown RFC	22	14	0	8	501	364	57	42	6	2	64
Treorchy RFC	22	12	0	10	431	403	48	50	3	3	54
St. Peters RFC	22	11	0	11	299	300	35	32	3	3	50
Old Illtydians RFC	22	10	1	11	385	359	46	40	2	6	50
Brecon RFC	22	9	0	13	358	435	43	59	3	6	45
Penarth RFC	22	8	1	13	341	357	44	43	2	8	44
Fairwater RFC	22	7	1	14	318	473	42	61	3	3	36
Tonyrefail RFC	22	5	1	16	330	566	41	70	3	5	30
Heol y Cyw RFC	22	4	0	18	279	569	31	81	1	6	23
