Driver	Car #	Make	Points	Laps	Winnings
Jimmie Johnson	48	Chevrolet	190	400	$244,286
Kyle Busch	5	Chevrolet	175	400	$171,225
Denny Hamlin	11	Chevrolet	170	400	$150,125
Jeff Gordon	24	Chevrolet	170	400	$185,811
Kurt Busch	2	Dodge	160	400	$139,858
Ryan Newman	12	Dodge	155	400	$123,950
Kevin Harvick	29	Chevrolet	151	400	$132,886
Tony Stewart	20	Chevrolet	147	400	$127,236
Clint Bowyer	7	Chevrolet	138	400	$87,975
Matt Kenseth	17	Ford	139	400	$126,466
Dave Blaney	22	Toyota	135	400	$104,183
Carl Edwards	99	Ford	127	400	$83,575
Dale Earnhardt Jr.	8	Chevrolet	124	400	$116,358
J.J. Yeley	18	Chevrolet	121	400	$101,008
Bobby Labonte	43	Dodge	118	400	$110,911
Paul Menard *	15	Chevrolet	115	400	$69,100
Mark Martin	1	Chevrolet	117	400	$95,683
Casey Mears	25	Chevrolet	109	400	$78,550
Greg Biffle	16	Ford	106	400	$84,625
David Ragan *	6	Ford	103	400	$108,875
Reed Sorenson	41	Dodge	100	400	$92,083
Tony Raines	96	Chevrolet	102	399	$80,200
Sterling Marlin	14	Chevrolet	94	399	$82,008
Jeff Green	66	Chevrolet	91	399	$86,697
Kyle Petty	45	Dodge	88	399	$69,400
Juan Montoya *	42	Dodge	85	399	$103,250
Elliott Sadler	19	Dodge	82	398	$86,770
Martin Truex Jr.	1	Chevrolet	79	398	$94,645
David Reutimann *	0	Toyota	76	398	$67,675
Scott Riggs	10	Dodge	73	397	$73,200
Johnny Benson	146	Toyota	70	397	$64,875
A.J. Allmendinger *	84	Toyota	67	396	$64,750
Joe Nemechek	13	Chevrolet	64	393	$64,625
Robby Gordon	7	Ford	61	378	$65,450
Ward Burton	4	Chevrolet	58	370	$65,375
Johnny Sauter	70	Chevrolet	55	370	$64,225
Ricky Rudd	88	Ford	52	369	$95,133
David Stremme	40	Dodge	49	362	$63,975
Kenny Wallace	78	Chevrolet	46	331	$63,850
Kasey Kahne	9	Dodge	43	314	$110,916
Jamie McMurray	26	Ford	40	301	$71,580
David Gilliland	38	Ford	37	275	$90,669
Jeff Burton	31	Chevrolet	34	139	$103,599
