Classification	Fastest time (s)	Athlete	Country	Date	Location
T11	12.01	Terezinha Guilhermina	Brazil	5 September 2012	London
T12	11.91	Zhou Guohua	People's Republic of China	1 September 2012	London
T13	11.99	Omara Durand	Cuba	17 November 2011	Guadalajara
T32	37.67	Lindsay Wright	United Kingdom	25 July 1997	Nottingham
T33	21.59	Kristen Messer	United States	31 August 2012	London
T34	17.60	Hannah Cockroft	United Kingdom	20 May 2012	Nottwil
T35	15.64	Liu Ping	People's Republic of China	24 August 2005	Espoo
T36	13.82	Wang Fang	People's Republic of China	16 September 2008	Beijing
T37	13.88	Lisa McIntosh	Australia	25 October 2000	Sydney
T38	13.10	Sophie Hahn	United Kingdom	24 July 2013	Lyon
T42	15.87	Martina Caironi	Italy	5 September 2012	London
T43	13.27	Marlou van Rhijn	Netherlands	1 September 2012	London
T44	12.96	Marlou van Rhijn	Netherlands	16 June 2013	Berlin , Germany
T45	14.00	G Cole	Canada	2 June 1980	Arnhem
T46	11.95	Yunidis Castillo	Cuba	4 September 2012	London
T51	32.08	V Hill	United States	27 August 1989	Stoke Mandeville
T52	18.67	Michelle Stilwell	Canada	14 July 2012	Windsor
T53	16.22	Huang Lisha	People's Republic of China	12 September 2008	Beijing
T54	15.82	Wenjun Liu	People's Republic of China	8 September 2012	London
