Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Nashville	3 – 1	Dallas	Ellis	18,584	33–25–8
March 4	Nashville	5 – 1	Edmonton	Ellis	16,839	34–25–8
March 6	Nashville	2 – 6	Vancouver	Ellis	18,630	34–26–8
March 7	Nashville	2 – 1	Calgary	Ellis	19,289	35–26–8
March 9	Nashville	3 – 4	Detroit	Mason	20,066	35–27–8
March 11	San Jose	2 – 1	Nashville	Ellis	14,965	35–28–8
March 13	Los Angeles	4 – 1	Nashville	Ellis	15,853	35–29–8
March 15	Nashville	3 – 1	Detroit	Ellis	20,066	36–29–8
March 18	Washington	4 – 2	Nashville	Ellis	17,113	36–30–8
March 20	Detroit	6 – 3	Nashville	Mason	17,113	36–31–8
March 22	Chicago	1 – 2	Nashville	Ellis	17,113	37–31–8
March 25	Columbus	0 – 3	Nashville	Ellis	16,330	38–31–8
March 28	Nashville	2 – 0	Columbus	Ellis	15,595	39–31–8
March 30	Nashville	0 – 1	Detroit	Ellis	20,066	39–31–9
