Round	Pick	Overall	Name	Position	College
1	10	10	Jack Jenkins	FB	Vanderbilt
3	10	25	Bill Dutton	HB	Pittsburgh
5	10	40	Bob Dove	DE	Notre Dame
6	10	50	Wally Ziemba	C	Notre Dame
7	10	60	Lou Rymkus	OT	Notre Dame
8	10	70	Tony Leon	G	Alabama
9	10	80	Bob Motl	E	Northwestern
10	10	90	Walt McDonald	DB	Tulane
11	10	100	George Perpich	OT	Georgetown
12	10	110	Dan Wood	C	Mississippi
13	10	120	Harry Wright	G	Notre Dame
14	10	130	Oscar Britt	G	Mississippi
15	10	140	Dick Weber	G	Syracuse
16	10	150	Joe Day	RB	Oregon State
17	10	160	Frank Dornfield	RB	Georgetown
18	10	170	John Baklarz	OT	Arizona State
19	10	180	Leo Mogus	E	Youngstown State
20	10	190	Dick Secrest	RB	Rochester
21	10	200	Don Nolander	C	Minnesota
22	10	210	Johnny Barrett	RB	Georgetown
23	10	220	Tom Vohs	OT	Colgate
24	10	230	Charlie Yancey	RB	Mississippi State
25	10	240	Roman Bentz	G	Tulane
26	10	250	Swifty Berthold	E	Syracuse
27	10	260	Vince Pacewic	HB	Loyola [g ]
28	10	270	Joe Riccardi	OT	Ohio
29	10	280	John Jaffurs	G	Penn State
30	10	290	Frank Akins	FB	Washington State
31	5	295	Bill Corry	RB	Florida
32	5	300	Bo Bogovich	G	Delaware
