Date	Tournament	Winning score	Margin of victory	Runner(s)-up
3 Jun 1984	Kemper Open	–8 (68-68-71-73=280)	5 strokes	Mark O'Meara
1 Jul 1984	Canadian Open	–10 (73-68-70-67=278)	2 strokes	Jack Nicklaus
4 May 1986	Panasonic Las Vegas Invitational	–27 (73-63-68-64-65=333)	7 strokes	Dan Pohl
1 Jun 1986	Kemper Open	–11 (72-69-70-66=277)	Playoff	Larry Mize
20 Jul 1986	The Open Championship	Even (74-63-74-69=280)	5 strokes	Gordon J. Brand
17 Apr 1988	MCI Heritage Golf Classic	–13 (65-69-71-66=271)	1 stroke	David Frost , Gil Morgan
20 Aug 1989	The International	13 points (5-4-11-13)	2 points	Clarence Rose
3 Sep 1989	Greater Milwaukee Open	–19 (64-69-66-70=269)	3 strokes	Andy Bean
4 Mar 1990	Doral-Ryder Open	–15 (68-73-70-62=273)	Playoff	Tim Simpson , Mark Calcavecchia , Paul Azinger
13 May 1990	Memorial Tournament	Even (73-74-69=216)	1 stroke	Payne Stewart
13 Sep 1992	Canadian Open	–8 (73-66-71-70=280)	Playoff	Bruce Lietzke
7 Mar 1993	Doral-Ryder Open	–23 (65-68-62-70=265)	4 strokes	Paul Azinger , Mark McCumber
18 Jul 1993	The Open Championship	–13 (66-68-69-64=267)	2 strokes	Nick Faldo
27 Mar 1994	The Players Championship	–24 (63-67-67-67=264)	4 strokes	Fuzzy Zoeller
4 Jun 1995	Memorial Tournament	–19 (66-70-67-66=269)	4 strokes	Mark Calcavecchia , David Duval , Steve Elkington
25 Jun 1995	Canon Greater Hartford Open	–13 (67-64-65-71=267)	2 strokes	Dave Stockton , Kirk Triplett , Grant Waite
27 Aug 1995	NEC World Series of Golf	–2 (73-68-70-67=278)	Playoff	Billy Mayfair , Nick Price
3 Mar 1996	Doral-Ryder Open	–19 (67-69-67-66=269)	2 strokes	Michael Bradley , Vijay Singh
29 Jun 1997	FedEx St. Jude Classic	–16 (68-65-69-66=268)	1 stroke	Dudley Hart
24 Aug 1997	NEC World Series of Golf	–7 (68-68-70-67=273)	4 strokes	Phil Mickelson
