Driver	Entrant	Constructor	Chassis	Engine
Ernst-Günther Burggaller	German Bugatti Team	Bugatti	Bugatti T35B	2.3 L8
Hermann zu Leiningen	German Bugatti Team	Bugatti	Bugatti T35C	2.0 L8
Heinrich-Joachim von Morgen	German Bugatti Team	Bugatti	Bugatti T35B	2.3 L8
Rudolf Caracciola	Private entry	Mercedes-Benz	Mercedes-Benz SSK L	7.1 L6
Earl Howe	Private entry	Bugatti	Bugatti T51	2.3 L8
Clifton Penn-Hughes	Private entry	Bugatti	Bugatti T35	2.0 L8
Henry Birkin	Private entry	Maserati	Maserati 26M	2.5 L8
Bernhard Ackerl	Private entry	Bugatti	Bugatti T37	1.5 L4
Juan Zanelli	Private entry	Bugatti	Bugatti T35B	2.3 L8
Guy Bouriat	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
Louis Chiron	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
Albert Divo	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
Achille Varzi	Automobiles Ettore Bugatti	Bugatti	Bugatti T51	2.3 L8
Philippe Étancelin	Private entry	Bugatti	Bugatti T35C	2.0 L8
Stanislas Czaykowski	Private entry	Bugatti	Bugatti T35B	2.3 L8
Marcel Lehoux	Private entry	Bugatti	Bugatti T35B	2.3 L8
William Grover-Williams	Private entry	Bugatti	Bugatti T35C	2.0 L8
Boris Ivanowski	Private entry	Mercedes-Benz	Mercedes-Benz SSK	7.1 L6
André Boillot	Private entry	Peugeot	Peugeot 174S	4.0 L4
Luigi Arcangeli	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 6C-1750	1.8 L6
Baconin Borzacchini	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 6C-1750	1.8 L6
Tazio Nuvolari	SA Alfa Romeo	Alfa Romeo	Alfa Romeo 8C-2300	2.3 L8
Goffredo Zehender	Scuderia Ferrari	Alfa Romeo	Alfa Romeo 6C-1750 GS	1.8 L6
Clemente Biondetti	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
René Dreyfus	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
Luigi Fagioli	Officine A. Maserati	Maserati	Maserati 26M	2.5 L8
Carlo Pedrazzini	Private entry	Maserati	Maserati 26B	2.0 L8
Hans Stuber	Private entry	Bugatti	Bugatti T35C	2.0 L8
