Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	23	38:35.353	4
Max Biaggi	Suzuki GSX-R1000 K7	23	+3.518	6
Fonsi Nieto	Kawasaki ZX-10R	23	+9.142	9
Troy Corser	Yamaha YZF-R1	23	+9.257	3
Troy Bayliss	Ducati 999 F07	23	+12.825	7
James Toseland	Honda CBR1000RR	23	+19.316	1
Roberto Rolfo	Honda CBR1000RR	23	+20.994	11
Régis Laconi	Kawasaki ZX-10R	23	+22.452	8
Michel Fabrizio	Honda CBR1000RR	23	+22.505	12
Ruben Xaus	Ducati 999 F06	23	+28.352	10
Karl Muggeridge	Honda CBR1000RR	23	+44.333	16
Yoann Tiberio	Honda CBR1000RR	23	+48.077	14
Guillaume Dietrich	Suzuki GSX-R1000 K6	23	+1:23.307	18
Luca Morelli	Honda CBR1000RR	23	+1:23.826	19
Dean Ellison	Ducati 999RS	23	+1:37.631	20
Max Neukirchner	Suzuki GSX-R1000 K7	6	Retirement	2
Shinichi Nakatomi	Yamaha YZF-R1	5	Retirement	17
Steve Martin	Suzuki GSX-R1000 K6	1	Retirement	13
Jakub Smrž	Ducati 999 F05	0	Retirement	15
