Name	Nationality	Position	Los Angeles Sol career	Appearances	Starts	Minutes	Goals	Assists
Camille Abily Category:Articles with hCards	France	MF	2009–	18	16	1449	8	1
Greer Barnes Category:Articles with hCards	United States	DF	2009	0	0	0	0	0
Brittany Bock Category:Articles with hCards	United States	DF	2009–	20	19	1710	2	0
Liz Bogus Category:Articles with hCards	United States	MF	2009	7	2	261	0	0
Shannon Boxx Category:Articles with hCards	United States	MF	2009–	20	19	1755	3	3
Brittany Cameron Category:Articles with hCards	United States	GK	2009	0	0	0	0	0
Stephanie Cox Category:Articles with hCards	United States	DF	2009–	20	20	1800	0	0
Han Duan Category:Articles with hCards	China	FW	2009	17	14	1256	3	2
Allison Falk Category:Articles with hCards	United States	DF	2009–	17	17	1435	1	0
Kendall Fletcher Category:Articles with hCards	United States	DF	2009	1	1	45	0	0
Martina Franko Category:Articles with hCards	Canada	DF	2009	10	10	887	0	1
Johanna Frisk Category:Articles with hCards	Sweden	DF	2009–	1	0	45	0	0
Valerie Henderson Category:Articles with hCards	United States	GK	2009–	1	1	90	0	0
Katie Larkin Category:Articles with hCards	United States	MF	2009	15	5	592	0	0
Karina LeBlanc Category:Articles with hCards	Canada	GK	2009–	20	20	1800	0	0
Manya Makoski Category:Articles with hCards	United States	MF	2009–	18	16	1443	0	0
Marta Category:Articles with hCards	Brazil	FW	2009–	20	20	1800	10	3
Aya Miyama Category:Articles with hCards	Japan	MF	2009–	21	21	1890	0	6
Sharolta Nonen Category:Articles with hCards	Canada	DF	2009	3	2	216	0	0
Lyndsey Patterson Category:Articles with hCards	United States	MF	2009	2	0	24	0	0
Keri Sanchez Category:Articles with hCards	United States	DF	2009	5	5	365	0	0
Lisa Sari Category:Articles with hCards	United States	MF	2009	5	3	251	0	0
Julia Schnugg Category:Articles with hCards	United States	FW	2009	0	0	0	0	0
Christie Shaner Category:Articles with hCards	United States	DF	2009	1	1	52	0	0
Aly Wagner Category:Articles with hCards	United States	MF	2009	16	12	999	0	4
Christie Welsh Category:Articles with hCards	United States	FW	2009	3	2	132	0	0
