Date	Opponent	Venue	Result	Attendance
14 August 2005	Wigan Athletic	A	1-0	23,575
21 August 2005	Arsenal	H	1-0	42,136
24 August 2005	West Bromwich Albion	H	4-0	41,201
27 August 2005	Tottenham Hotspur	A	2-0	36,077
10 September 2005	Sunderland	H	2-0	41,969
17 September 2005	Charlton	A	2-0	27,111
24 September 2005	Aston Villa	H	2-1	42,146
2 October 2005	Liverpool	A	4-1	44,235
15 October 2005	Bolton Wanderers	H	5-1	41,775
23 October 2005	Everton	A	1-1	36,042
29 October 2005	Blackburn Rovers	H	4-2	41,553
6 November 2005	Manchester United	A	0-1	67,864
19 November 2005	Newcastle United	H	3-0	42,268
26 November 2005	Portsmouth	A	2-0	20,182
3 December 2005	Middlesbrough	H	1-0	41,666
10 December 2005	Wigan Athletic	H	1-0	42,060
18 December 2005	Arsenal	A	2-0	38,347
26 December 2005	Fulham	H	3-2	42,313
28 December 2005	Manchester City	A	1-0	46,587
31 December 2005	Birmingham City	H	2-0	40,652
2 January 2006	West Ham United	A	3-1	34,758
15 January 2006	Sunderland	A	2-1	32,420
22 January 2006	Charlton	H	1-1	41,355
1 February 2006	Aston Villa	A	1-1	38,562
5 February 2006	Liverpool	H	2-0	42,316
11 February 2006	Middlesbrough	A	0-3	31,037
25 February 2006	Portsmouth	H	2-0	42,254
4 March 2006	West Bromwich Albion	A	2-1	26,581
11 March 2006	Tottenham Hotspur	H	2-1	42,243
19 March 2006	Fulham	A	0-1	22,486
25 March 2006	Manchester City	H	2-0	41,600
1 April 2006	Birmingham City	A	0-0	26,364
9 April 2006	West Ham United	H	4-1	41,919
15 April 2006	Bolton Wanderers	A	2-0	27,266
17 April 2006	Everton	H	3-0	41,765
29 April 2006	Manchester United	H	3-0	42,219
2 May 2006	Blackburn Rovers	A	0-1	20,243
7 May 2006	Newcastle United	A	0-1	52,309
