RR Romaja	M–R Romaja	Hangul/Chosongul	Hanja	ISO	Area	Capital	Region	Country
Chungcheongbuk	Ch'ungch'ŏngbuk	충청북도	忠清北道	KR-43	7,436	Cheongju	Hoseo	South Korea
Chungcheongnam	Ch'ungch'ŏngnam	충청남도	忠清南道	KR-44	8,352	Hongseong	Hoseo	South Korea
Gangwon	Kangwŏn	강원도	江原道	KR-44	16,894	Chuncheon	Gwandong	South Korea
Gangwon	Kangwŏn	강원도	江原道	KP-07	11,091	Wonsan	Gwandong	North Korea
Gyeonggi	Kyŏnggi	경기도	京畿道	KR-41	10,131	Suwon	Sudogwon	South Korea
Gyeongsangbuk	Kyŏngsangbuk	경상북도	慶尙北道	KR-47	19,440 [2]	Daegu	Yeongnam	South Korea
Gyeongsangnam	Kyŏngsangnam	경상남도	慶尙南道	KR-48	11,859	Changwon	Yeongnam	South Korea
Hamgyeongbuk	Hamgyŏngbuk	함경북도	咸鏡北道	KP-09	15,980	Chongjin	Kwanbuk	North Korea
Hamgyeongnam	Hamgyŏngnam	함경남도	咸鏡南道	KP-08	18,534	Hamhung	Kwannam	North Korea
Hwanghaebuk	Hwanghaebuk	황해북도	黃海北道	KP-06	8,154	Sariwon	Haeso	North Korea
Hwanghaenam	Hwanghaenam	황해남도	黃海南道	KP-05	8,450	Sariwon	Haeso	North Korea
Jagang	Chagang	자강도	慈江道	KP-04	16,765	Kanggye	Kwanso	North Korea
Jeju	Cheju	제주도	濟州道	KR-49	1,846	Jeju City	Jejudo	South Korea
Jeollabuk	Chŏllabuk	전라북도	全羅北道	KR-45	8,043	Jeonju	Honam	South Korea
Jeollanam	Chŏllanam	전라남도	全羅南道	KR-46	11,858	Muan	Honam	South Korea
Pyeonganbuk	P'yŏnganbuk	평안북도	平安北道	KP-03	12,680	Sinuiju	Kwanso	North Korea
Pyeongannam	P'yŏngannam	평안남도	平安南道	KP-02	11,891	Pyongsong	Kwanso	North Korea
