Date	League position	Opponents	Venue	Result	Score F–A	Attendance
16 August 2003	6th	Tottenham Hotspur	H	W	1–0	29,358
23 August 2003	6th	Southampton	A	D	0–0	31,656
30 August 2003	6th	Newcastle United	A	W	1–0	52,006
14 September 2003	8th	Fulham	H	D	2–2	27,250
20 September 2003	7th	Leeds United	A	W	2–0	34,305
27 September 2003	4th	Portsmouth	H	W	2–0	29,057
4 October 2003	5th	Manchester United	A	L	0–3	67,633
14 October 2003	4th	Chelsea	H	D	0–0	29,460
19 October 2003	4th	Aston Villa	H	D	0–0	29,546
25 October 2003	4th	Bolton Wanderers	A	W	1–0	25,023
3 November 2003	4th	Charlton Athletic	H	L	1–2	27,225
8 November 2003	5th	Wolverhampton Wanderers	A	D	1–1	28,831
22 November 2003	5th	Arsenal	H	L	0–3	29,588
30 November 2003	8th	Liverpool	A	L	1–3	42,683
6 December 2003	8th	Blackburn Rovers	H	L	0–4	29,354
13 December 2003	8th	Leicester City	A	W	2–0	30,639
26 December 2003	8th	Manchester City	H	W	2–1	29,520
28 December 2003	9th	Everton	A	L	0–0	39,631
7 January 2004	10th	Tottenham Hotspur	A	L	1–4	30,016
10 January 2004	8th	Southampton	H	W	2–1	29,071
18 January 2004	9th	Chelsea	A	D	0–0	41,073
31 January 2004	9th	Newcastle United	H	D	1–1	29,513
8 February 2004	10th	Manchester City	A	D	0–0	46,967
11 February 2004	9th	Everton	H	W	3–0	23,331
22 February 2004	8th	Aston Villa	A	D	0–0	40,061
3 March 2004	7th	Middlesbrough	H	W	3–1	29,369
6 March 2004	5th	Bolton Wanderers	H	W	2–0	28,003
13 March 2004	6th	Leicester City	H	L	0–1	29,491
20 March 2004	7th	Middlesbrough	A	L	3–5	30,244
27 March 2004	6th	Leeds United	H	W	4–1	29,069
3 April 2004	6th	Fulham	A	D	0–0	14,667
10 April 2004	6th	Manchester United	H	L	1–2	29,548
12 April 2004	8th	Portsmouth	A	L	1–3	20,104
17 April 2004	8th	Charlton Athletic	A	D	1–1	29,115
25 April 2004	9th	Wolverhampton Wanderers	H	D	2–2	29,494
1 May 2004	9th	Arsenal	A	D	0–0	38,061
8 May 2004	10th	Liverpool	H	L	0–3	29,553
15 May 2004	10th	Blackburn Rovers	A	D	1–1	26,070
