Goal	Date	Venue	Score	Result	Competition
1	22 January 1999	Umm al-Fahm , Israel	3–3	Draw	Friendly
2	4 February 2000	La Manga , Spain	1–1	Draw	Friendly
3	3 June 2000	Ullevaal Stadion , Oslo	1–0	Win	Friendly
4	28 February 2001	Windsor Park , Belfast	4–0	Win	Friendly
5	24 March 2001	Ullevaal Stadion , Oslo	2–3	Loss	World Cup 2002 Qualifier
6	6 June 2001	Ullevaal Stadion , Oslo	1–1	Draw	World Cup 2002 Qualifier
7	5 September 2001	Ullevaal Stadion , Oslo	3–2	Win	World Cup 2002 Qualifier
8	6 October 2001	Yerevan	4–1	Win	World Cup 2002 Qualifier
9	6 October 2001	Yerevan	4–1	Win	World Cup 2002 Qualifier
10	7 September 2002	Ullevaal Stadion , Oslo	2–2	Draw	Euro 2004 Qualifier
11	4 September 2004	Palermo	1–2	Loss	World Cup 2006 Qualifier
12	13 October 2004	Ullevaal Stadion , Oslo	3–0	Win	World Cup 2006 Qualifier
13	3 September 2005	Celje	3–2	Win	World Cup 2006 Qualifier
14	15 November 2006	Belgrade	1–1	Draw	Friendly
15	24 March 2007	Ullevaal Stadion , Oslo	1–2	Loss	Euro 2008 Qualifier
16	6 June 2007	Ullevaal Stadion , Oslo	4–0	Win	Euro 2008 Qualifier
17	6 June 2007	Ullevaal Stadion , Oslo	4–0	Win	Euro 2008 Qualifier
18	22 August 2007	Ullevaal Stadion , Oslo	2–1	Win	Friendly
19	22 August 2007	Ullevaal Stadion , Oslo	2–1	Win	Friendly
20	12 September 2007	Ullevaal Stadion , Oslo	2–2	Draw	Euro 2008 Qualifier
21	26 March 2008	Podgorica City Stadium , Podgorica	3–1	Loss	Friendly
22	14 November 2009	Stade de Genève , Geneva	0–1	Win	Friendly
23	8 October 2010	Antonis Papadopoulos Stadium , Larnaca	1–2	Win	UEFA Euro 2012 qualifying
24	11 October 2011	Ullevaal Stadion , Oslo	3–1	Win	UEFA Euro 2012 qualifying
