Year	Champion	Runner-Up	Result	Date	Venue	Attendance
1944	Dresdner SC	Luftwaffen-SV Hamburg	4-0	18 June 1944	Berlin	70,000
1943	Dresdner SC	FV Saarbrücken	3-0	27 June 1943	Berlin	80,000
1942	FC Schalke 04	First Vienna FC	2-0	5 July 1942	Berlin	90,000
1941	Rapid Wien	FC Schalke 04	4-3	22 June 1941	Berlin	95,000
1940	FC Schalke 04	Dresdner SC	1-0	21 July 1940	Berlin	95,000
1939	FC Schalke 04	Admira Wien	9-0	18 June 1939	Berlin	100,000
1938	Hannover 96	FC Schalke 04	3-3 aet 4-3 aet	26 June 1938 3 July 1938	Berlin Berlin	100,000 100,000
1937	FC Schalke 04	1. FC Nuremberg	2-0	20 June 1937	Berlin	100,000
1936	1. FC Nuremberg	Fortuna Düsseldorf	2-1 aet	21 June 1936	Berlin	45,000
1935	FC Schalke 04	VfB Stuttgart	6-4	23 June 1935	Cologne	74,000
1934	FC Schalke 04	1. FC Nuremberg	2-1	24 June 1934	Berlin	45,000
