Municipality	Residents per officer	Cost per capita	Case burden	Crime rate per 1,000 people
Abbotsford	685	$199	81	118
Burnaby	808	$160	100	123
Campbell River	770	$173	137	178
Castlegar	711	$143	107	150
Central Saanich	801	$181	39	49
Chilliwack	803	$154	140	174
Coldstream	1,443	$69	54	38
Colwood	953	$95	73	74
Comox	1,271	$75	69	56
Coquitlam	961	$139	96	100
Courtenay	838	$147	155	182
Cranbrook	824	$159	108	131
Dawson Creek	518	$215	116	225
Delta	680	$205	80	151
Fort St. John	684	$213	156	228
Hope	507	$168	91	180
Kamloops	701	$181	118	168
Kelowna	836	$149	125	150
Kimberley	783	$95	60	77
Kitimat	706	$148	49	70
Ladysmith	1,042	$95	85	81
Lake Country	1,152	$71	104	90
Langford	910	$156	102	112
Langley (city)	584	$237	102	176
Langley (township)	794	$168	86	108
Mackenzie	682	$141	74	108
Maple Ridge	931	$152	127	136
Merritt	582	$157	133	228
Mission	739	$183	125	169
Nanaimo	701	$183	125	178
Nelson	576	$201	80	139
New Westminster	537	$276	87	162
North Cowichan	1,019	$127	100	98
North Saanich	1,127	$84	38	34
North Vancouver (city)	736	$186	86	117
North Vancouver (district)	972	$133	65	67
Oak Bay	832	$194	54	65
Parksville	901	$99	156	174
Penticton	787	$154	130	165
Pitt Meadows	878	$120	89	101
Port Alberni	550	$249	115	210
Port Coquitlam	976	$133	109	112
Port Moody	711	$203	47	67
Powell River	768	$139	88	114
Prince George	638	$201	114	179
Prince Rupert	416	$213	85	204
Qualicum Beach	1,468	$53	118	81
Quesnel	524	$259	124	237
Revelstoke	724	$123	76	105
Richmond	908	$152	85	191
Saanich	751	$176	43	67
Salmon Arm	1,000	$104	103	103
Sechelt	890	$102	85	96
Sidney	847	$108	46	54
Smithers	612	$170	184	301
Sooke	1,012	$99	93	92
Spallumcheen	1,902	$47	87	46
Squamish	637	$186	130	204
Summerland	1,267	$69	86	68
Surrey	712	$167	90	127
Terrace	502	$184	103	206
Trail	657	$171	97	147
Vancouver	498	$291	58	117
Vernon	739	$165	123	167
Victoria	440	$329	82	186
View Royal	1,048	$115	88	87
West Vancouver	590	$222	35	60
Whistler	425	$304	86	202
White Rock	851	$160	72	84
Williams Lake	516	$175	130	252
Average	687	$192	85	120
