Game	Date	Opponent	Score	Location	Attendance	Record	Points
63	March 3	Buffalo Sabres	3 - 1	HSBC Arena	18690	42-13-8	92
64	March 4	Tampa Bay Lightning	5 - 4	Verizon Center	18277	43-13-8	94
65	March 6	New York Rangers	2 - 0	Verizon Center	18277	44-13-8	96
66	March 8	Dallas Stars	4 - 3 SO	Verizon Center	18277	44-13-9	97
67	March 10	Carolina Hurricanes	4 - 3 OT	Verizon Center	18277	45-13-9	99
68	March 12	Tampa Bay Lightning	2 - 3	Verizon Center	18277	45-14-9	99
69	March 14	Chicago Blackhawks	4 - 3 OT	United Center	22289	46-14-9	101
70	March 16	Florida Panthers	7 - 3	BankAtlantic Center	15123	47-14-9	103
71	March 18	Carolina Hurricanes	3 - 4 OT	RBC Center	18144	47-14-10	104
72	March 20	Tampa Bay Lightning	3 - 1	St. Pete Times Forum	19844	48-14-10	106
73	March 24	Pittsburgh Penguins	4 - 3 SO	Verizon Center	18277	49-14-10	108
74	March 25	Carolina Hurricanes	3 - 2 SO	RBC Center	18046	49-14-11	109
75	March 28	Calgary Flames	5 - 3	Verizon Center	18277	49-15-11	109
