Team	Played	Highest	Lowest	Total	Average
Wellington	7	15,242	6,260	80,546	11,507
Canterbury	7	10,065	7,000	58,565	8,366
Bay of Plenty	6	13,500	6,300	51,900	8,650
Auckland	5	16,000	6,540	47,040	9,408
Waikato	5	12,000	7,100	45,600	9,120
Hawke's Bay	6	10,866	4,000	41,893	6,982
Southland	5	9,000	7,000	37,482	7,496
Manawatu	5	8,000	4,000	31,000	6,200
Northland	5	14,200	3,000	31,600	6,320
Taranaki	5	6,500	4,000	28,000	5,600
Tasman	5	6,700	2,500	22,800	4,560
North Harbour	5	5,700	2,500	19,400	3,880
Otago	5	5,000	2,000	18,500	3,700
Counties-Manukau	5	6,500	800	16,850	3,370
Total	76	16,000	800	530,226	6,977
