Year	Entrant	Chassis	Engine	Points
1972	Team Williams-Motul	March 711	Cosworth V8	3
1973	Brooke Bond Oxo Team Surtees	Surtees TS14A	Cosworth V8	7
1974	Team Surtees	Surtees TS16	Cosworth V8	11
1974	Bang & Olufsen Team Surtees	Surtees TS16	Cosworth V8	11
1974	Goldie Hexagon Racing	Brabham BT42	Cosworth V8	11
1974	Motor Racing Developments	Brabham BT44	Cosworth V8	11
1975	Martini Racing	Brabham BT44B	Cosworth V8	24
1976	Martini Racing	Brabham BT45	Alfa Romeo Flat-12	7
1977	Martini Racing	Brabham BT45	Alfa Romeo Flat-12	6
1977	Martini Racing	Brabham BT45B	Alfa Romeo Flat-12	6
