Character	Original Japanese	English ( Streamline )	English ( Manga UK )	English ( Pioneer / Geneon )
Arsène Lupin III/Wolf III	Yasuo Yamada	Bob Bergen	Bill Dufris	Tony Oliver
Fujiko Mine/Margot	Eiko Masuyama	Edie Mirman	Toni Barry	Michelle Ruff
Howard Lockewood/Foward Fughes (Mamo/Mameaux)	Kō Nishimura	Robert Axelrod	Allan Wenger	George C. Cole
Daisuke Jigen/Dan Dunn	Kiyoshi Kobayashi	Steve Bulen	Eric Meyers	Richard Epcar
Goemon Ishikawa XIII/Samurai	Makio Inoue	Kirk Thornton	Garrick Hagon	Lex Lang
Inspector Koichi Zenigata/Detective Ed Scott	Gorō Naya	David Povall	Sean Barrett	Dan Martin
Heinrich "Starky/Stuckey" Gissinger	Tōru Ōhira	Steve Kramer	unknown	Osgood W. Glick
Special Agent Gordon	Hidekatsu Shibata	Michael Forest	unknown	Michael McConnohie
Police commissioner	Kōsei Tomita	Jeff Winkless	unknown	Richard Cansino
Flinch/Frenchy	Shōzō Iizuka	unknown	unknown	Bob Papenbrook
Scientist	Ichirō Murakoshi	unknown	unknown	Richard Cansino
Dietman/Premier	Shunsuke Shima	unknown	unknown	Richard Cansino
Officer	Yūji Mikimoto	unknown	unknown	unknown
Egyptian police chief	Haruo Minami (Special Guest Voice)	Steve Kramer	unknown	Richard Cansino
President	Fujio Akatsuka (Special Guest Voice)	Steve Kramer	unknown	Richard Cansino
