Rnd	Circuit	Location	Date	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Supporting
1	Streets of St. Petersburg	St. Petersburg, Florida	March 27	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	IndyCar
2	Streets of St. Petersburg	St. Petersburg, Florida	March 28	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	IndyCar
NC	Mazda Raceway Laguna Seca 1	Monterey, California	May 23	Sage Karam	Sage Karam	Mikhail Goikhberg	Scott Rarick	PR1 Motorsports	ALMS
NC	Mazda Raceway Laguna Seca 1	Monterey, California	May 23	Sage Karam	Mikhail Goikhberg	Sage Karam	Mikhail Goikhberg	JDC Motorsports	ALMS
3	O'Reilly Raceway Park	Clermont, Indiana	May 29	Patrick McKenna	Mikhail Goikhberg	Sage Karam	Patrick McKenna	Cape Motorsports	USAC Midgets
4	Iowa Speedway	Newton, Iowa	June 19	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	IndyCar
5	New Jersey Motorsports Park	Millville, New Jersey	June 26	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	Star Mazda
6	New Jersey Motorsports Park	Millville, New Jersey	June 27	Sage Karam	Mikhail Goikhberg	Patrick McKenna	Patrick McKenna	Cape Motorsports	Star Mazda
7	Autobahn Country Club	Joliet, Illinois	July 31	Sage Karam	Sage Karam	Tõnis Kasemets	Tõnis Kasemets	Pabst Racing Services	Star Mazda
8	Autobahn Country Club	Joliet, Illinois	August 1	Sage Karam	Patrick McKenna	Sage Karam	Sage Karam	Andretti Autosport	Star Mazda
9	Road America	Elkhart Lake, Wisconsin	August 21	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	ALMS
10	Road America	Elkhart Lake, Wisconsin	August 22	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	ALMS
11	Road Atlanta	Braselton, Georgia	September 30	Sage Karam	Sage Karam	Sage Karam	Sage Karam	Andretti Autosport	ALMS
