Constituency	Winner	Party	Margin	Runner-up a	Party a
Madras North	D. Pandian	INC	113771	N. V. N. Somu	DMK
Madras Central	Era. Anbarasu	INC	66406	A. Kalanidhi	DMK
Madras South	Vyjayanthimala	INC	125844	Aladi Aruna	DMK
Sriperumbudur	Maragatham Chandrasekar	INC	154551	K. Ganesan	DMK
Chengalpattu	Kanchi Panneerselvam	ADMK	122867	M. V. Ramu	DMK
Arakkonam	R. Jeevarathinam	INC	62393	K. Murthy	DMK
Vellore	A. K. A. Abdul Samad	INC	160850	M.Abdul Lathief	DMK
Tiruppattur	A. Jayamohan	INC	134833	K. C. Alagiri	DMK
Vandavasi	L. Balaraman	INC	100172	D. Venugopal	DMK
Tindivanam	R. Ramadoss	INC	100715	N. Dayanidhi	DMK
Cuddalore	P. R. S. Venkatesan	INC	116835	G. Bhaskaran	DMK
Chidambaram	P. Vallalperuman	INC	28283	A. Ayyasamy	DMK
Dharmapuri	M. G. Sekhar	ADMK	113020	B. D. Elangovan	PMK
Krishnagiri	K. Ramamurthy	INC	201494	B. Venkataswamy	JD
Rasipuram	B. Devarajan	INC	251975	R. Mayavan	DMK
Salem	Rangarajan Kumaramangalam	INC	241770	M. Karthikeyan	DMK
Tiruchengode	K. C. Palanisamy	ADMK	272271	C. Poongothai	DMK
Nilgiris	R. Prabhu	INC	173771	S. A. Mahalingam	DMK
Gobichettipalayam	P. G. Narayanan	ADMK	225957	N. K. K. Periasamy	DMK
Coimbatore	C. K. Kuppuswamy	INC	140068	R. Umanath	CPM
Pollachi	B. Raja Ravi Varma	ADMK	231309	M. Arumugham	CPI
Palani	A. Senapathi Gounder	INC	80913	Rajkumar Mandradiar	DMK
Dindigul	C. Srinivasan	ADMK	235368	N. Varatharajan	CPM
Madurai	A. G. S. Ram Babu	INC	213778	V. Velusamy	DMK
Periyakulam	R. Muthiah	ADMK	221404	Cumbum A. K. Mahendiran	DMK
Karur	M. Thambi Thurai	ADMK	238751	K. C. Palanisamy	DMK
Tiruchirappalli	L. Adaikalaraj	INC	169966	T. Rangarajan	CPM
Perambalur	A. Asokaraj	ADMK	136176	S. Panovaikaruthazhvan	DMK
Mayiladuthurai	E. S. M. Pakeer Mohammad	INC	101945	P. Kalyanam	DMK
Nagapattinam	M. Selvarasu	CPI	21523	N. S. Veeramurasu	INC
Thanjavur	S. Singaravadivel	INC	97147	S. Palnimanickam	DMK
Pudukkottai	N. Sundararaj	INC	271136	A. Selvaraj	DMK
Sivaganga	P. Chidambaram	INC	219552	A. Ganesan	DMK
Ramanathapuram	V. Rajeshwaran	INC	179544	S. P. Thangavelan	DMK
Sivakasi	K. Kalimuthu	ADMK	137068	V. Gopalsamy	DMK
Tirunelveli	M. R. Janardhanan	ADMK	191135	D. S. A. Sivaprakasam	DMK
Tenkasi	M. Arunachalam	INC	172707	R. Krishnan	CPM
Tiruchendur	R. Dhanushkodi Adithan	INC	212071	A. Karthikeyan	DMK
