Code	District	Headquarters	Population (2011)	Area (km²)	Density (/km²)	Official website
AD	Adilabad	Adilabad	2737738	16105	170	http://adilabad.nic.in/
AN	Anantapur	Anantapur	4083315	19130	213	http://anantapur.nic.in/
CH	Chittoor	Chittoor	4170468	15152	275	http://chittoor.nic.in/
EG	East Godavari	Kakinada	5151549	10807	477	http://eastgodavari.nic.in/
GU	Guntur	Guntur	4889230	11391	429	http://guntur.nic.in/
HY	Hyderabad	Hyderabad	4010238	217	217	http://hyderabad.nic.in/
CU	Cuddapah	Cuddapah	2884524	15359	188	http://kadapa.nic.in/
KA	Karimnagar	Karimnagar	3811738	11823	322	http://karimnagar.nic.in/
KH	Khammam	Khammam	2798214	16029	175	http://khammam.nic.in/
KR	Krishna	Machilipatnam	4529009	8727	519	http://krishna.nic.in/
KU	Kurnool	Kurnool	4046601	17658	229	http://kurnool.nic.in/
MA	Mahbubnagar	Mahabubnagar	4042191	18432	219	http://mahabubnagar.nic.in/
ME	Medak	Sangareddi	3031877	9699	313	http://medak.nic.in/
NA	Nalgonda	Nalgonda	3483648	14240	245	http://nalgonda.nic.in/
NE	Nellore	Nellore	2966082	13076	227	http://nellore.nic.in/
NI	Nizamabad	Nizamabad	2552073	7956	321	http://nizamabad.nic.in/
PR	Prakasam	Ongole	3392764	17626	193	http://prakasam.nic.in/
RA	Rangareddy	Hyderabad	5296396	7493	707	http://rangareddy.nic.in/
SR	Srikakulam	Srikakulam	2699471	5837	462	http://srikakulam.nic.in/
VS	Vishakhapatnam	Vishakhapatnam	4288113	11161	340	http://visakhapatnam.nic.in/
VZ	Vizianagaram	Vizianagaram	2342868	6539	384	http://vizianagaram.nic.in/
WA	Warangal	Warangal	3522644	12846	252	http://warangal.nic.in/
