Date	Venue	Score	Result	Competition
19 November 1997	Lluís Sitjar , Palma , Spain	1–0	1–1	Friendly
25 March 1998	Balaídos , Vigo , Spain	4–0	4–0	Friendly
14 October 1998	Ramat Gan , Tel Aviv , Israel	1–2	1–2	Euro 2000 qualifying
31 March 1999	Olimpico , Serravalle , San Marino	0–6	0–6	Euro 2000 qualifying
5 June 1999	El Madrigal , Vila-real , Spain	3–0	9–0	Euro 2000 qualifying
5 June 1999	El Madrigal, Vila-real, Spain	4–0	9–0	Euro 2000 qualifying
18 June 2000	Amsterdam Arena , Amsterdam, Netherlands	1–2	1–2	UEFA Euro 2000
2 September 2000	Koševo , Sarajevo , Bosnia and Herzegovina	1–2	1–2	2002 World Cup qualification
29 March 2003	Olimpiyskiy , Kiev , Ukraine	1–2	2–2	Euro 2004 qualifying
6 November 2003	Afonso Henriques , Guimarães , Portugal	0–1	0–3	Friendly
19 November 2003	Ullevaal , Oslo, Norway	0–3	0–3	Euro 2004 qualifying
18 February 2004	Lluís Companys , Barcelona, Spain	1–1	2–1	Friendly
