Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
151	1	" My Jerks "	Michael Spiller	Angela Nissel	January6,2009	801	6.76
152	2	" My Last Words "	Bill Lawrence	Aseem Batra	January6,2009	802	6.64
153	3	"My Saving Grace"	Michael Spiller	Janae Bakken	January13,2009	803	4.48
154	4	"My Happy Place"	Ken Whittingham	Taii K. Austin	January13,2009	804	4.48
155	5	" My ABC's "	Bill Lawrence	Bill Lawrence	January27,2009	713	5.12
156	6	"My Cookie Pants"	Gail Mancuso	Clarence Livingston	January27,2009	805	5.05
157	7	"My New Role"	Will Mackenzie	Dave Tennant	February3,2009	806	4.90
158	8	"My Lawyer's in Love"	Mark Stegemann	Debra Fordham	February3,2009	811	4.70
159	9	"My Absence"	John Putch	Debra Fordham & Andy Schwartz	February10,2009	812	4.60
160	10	"My Comedy Show"	Ted Wass	Devin O. Mahoney & C. Rego Marquiis	February10,2009	807	4.23
161	11	" My Nah Nah Nah "	John Putch	Kevin Biegel	March18,2009	712	5.80
162	12	"Their Story II"	Michael McDonald	Andy Schwartz	March25,2009	808	5.33
163	13	"My Full Moon"	John Michel	Kevin Biegel	April1,2009	813	5.04
164	14	"My Soul on Fire: Part 1"	Bill Lawrence	Bill Callahan	April8,2009	809	4.66
165	15	"My Soul on Fire: Part 2"	Bill Lawrence	Bill Callahan	April15,2009	810	5.30
166	16	"My Cuz"	Linda Mendoza	Kevin Biegel	April22,2009	814	4.66
167	17	"My Chief Concern"	Zach Braff	Neil Goldman & Garrett Donovan	May5,2009	815	3.83
